"I came up to the surface I cannot remember how long I've been swimming, drowning.",0.0,26.48
Since I've grown accustomed to all of the sharks and they're not really breathing.,26.48,36.88
Now I won't just mind the gap I'll fill it.,36.88,42.92
If I'm gonna eat this mosquito off my head.,42.92,49.120000000000005
I haven't really made the most of this life.,49.12,54.959999999999994
From here on I'll spit back whatever don't taste right.,54.959999999999994,61.04
One time I told my heart to shut up.,61.04,67.28
But I know that I can win back her trust.,67.28,73.03999999999999
I owe at least that much to the both of us.,73.04,92.72
Developed a knack for this dull conversation.,92.72,97.04
I sharpen my wit but what's my motivation?,97.04,105.04
Don't need to be clever to tell you that I'm just a total mess and that I must throw that,105.04,112.56
old self away.,112.56,115.56
If I don't get right now I will always eat what's to gain.,115.56,123.12
Sleep with the snakes here in this cold grave.,123.12,127.60000000000001
I haven't really made the most of this life.,127.60000000000001,133.68
From here on I'll spit back whatever don't taste right.,133.68,139.56
One time I told my heart to shut up.,139.56,145.8
But I know that I can win back her trust.,145.8,151.6
I owe at least that much to the both of us.,151.6,159.28
I was waiting for this to happen to me.,159.28,166.32
But nothing's happening.,166.32,171.28
I feel my skin as the sun burns it.,171.28,177.76
And something in me says let it.,177.76,180.72
Cause one more look might change it all.,180.84,184.84
One more word might change it all.,186.84,191.84
One more drive might change it all.,192.84,197.84
One more kiss might change it all.,198.84,204.84
One more look might change it all.,204.84,208.84
One more drive might change it all.,210.84,214.84
One more kiss might change it all.,214.84,218.84
One more drive might change it all.,218.84,222.84
