start	end	text
15090	15650	Pretty
15650	16290	girls
16290	16790	like
16790	17570	Samuel
17570	18350	and
22840	23720	Cheryl
23720	23990	And
28360	28740	he
28740	29220	can
29220	30880	handle
30880	31760	life
33090	34190	as
34190	34910	anything
34910	35430	but
35430	35750	fair
36070	40010	Oh,
40370	40790	oh,
41150	41830	oh,
45430	46350	oh,
46690	47090	oh,
47390	47550	oh,
47550	47950	oh,
51760	52080	oh,
52240	52960	oh,
52960	56020	oh,
58750	61140	oh,
65870	65890	oh,
65890	65950	oh,
65950	65970	oh,
65970	65990	oh,
66310	66610	oh,
66710	66730	oh,
66730	66750	oh,
66750	66770	oh,
66770	66790	oh,
66790	66810	oh,
66810	66830	oh,
66830	66850	oh,
66850	66870	oh,
66870	66890	oh,
66890	66910	oh,
66910	66930	oh,
66930	66950	oh,
66950	66970	oh,
66970	66990	oh,
66990	67010	oh,
67010	67030	oh,
67030	67050	oh,
67050	67070	oh,
67070	67090	oh,
67090	67110	oh,
67110	67130	oh,
67130	67150	oh,
67150	67170	oh,
67170	67190	oh,
67190	67210	oh,
67210	67230	oh,
67230	67250	oh,
67250	67270	oh,
67270	67290	oh,
67290	67310	oh,
67310	67330	oh,
67330	67350	oh,
67350	67370	oh,
67370	67390	oh,
67390	67410	oh,
67410	67430	oh,
67430	67450	oh,
67450	68250	oh,
68250	68270	oh,
68270	68290	oh,
68290	68310	oh,
68310	68330	oh,
68330	68510	oh,
68510	68530	oh,
75210	77430	oh,
81040	81060	oh,
81060	81080	oh,
81080	81100	oh,
81100	81120	oh,
81120	82480	oh,
82640	83940	oh,
83940	83960	oh,
83960	83980	oh,
83980	84000	oh,
84000	84020	oh,
84020	84040	oh,
84040	84060	oh,
84060	84080	oh,
84080	84100	oh,
84100	84120	oh,
84120	84140	oh,
84140	84160	oh,
84160	84180	oh,
84180	84200	oh,
84200	84220	oh,
84220	84240	oh,
84240	84260	oh,
84260	84280	oh,
84280	84300	oh,
84300	84320	oh,
84320	84340	oh,
84340	84360	oh,
84360	84380	oh,
84380	84400	oh,
84400	84420	oh,
84420	84430	oh,
84760	84780	oh,
84780	84800	oh,
84800	84820	oh,
84820	84840	oh,
84840	84860	oh,
84860	84880	oh,
84880	84900	oh,
84900	84920	oh,
84920	84940	oh,
84940	84960	oh,
84960	84980	oh,
84980	85000	oh,
85000	85020	oh,
85020	85040	oh,
85040	85060	oh,
85060	85080	oh,
85080	85100	oh,
85100	85120	oh,
85120	85140	oh,
85140	86300	oh
86800	87960	Won't
87960	87980	you
87980	88000	lay
88000	88020	me
88020	88300	down
88300	88800	Won't
88800	88980	you
88980	89720	lay
93290	93970	me
93970	94640	down
102110	102580	My
140940	141040	legs
141040	141280	are
141280	141760	tired
141760	141980	My
141980	142560	foot
142560	142800	is
143250	143540	flat
143540	144020	Long
144020	144500	before
144500	145240	I
145240	145640	see
145640	145920	the
145920	146380	light
160620	161330	Say
161330	161690	no
161690	162000	more
178550	178950	But
178950	179270	it
179270	179750	just
179750	180150	keeps
180150	180590	getting
180590	181150	harder
183210	183550	Won't
183550	183790	you
183790	184510	lay
184510	185050	me
185930	186680	Won't
186680	187060	you
187060	187800	lay
187800	188300	me
188300	188980	down
189540	190020	Won't
190020	190300	you
190300	191080	lay
191080	192240	me
192520	193240	Won't
193240	193720	you
193720	194360	lay
194360	195220	me
195220	195720	down
197200	197220	Won't
197220	197240	you
197240	197260	lay
197260	197920	me
198670	199740	Won't
199740	200080	you
200080	200780	lay
200780	201260	me
201260	201940	down
