Halboy Carter? Time to strike a match and ride up this Duke George.,7.11,12.57
"I am the one, I am the one now, just tell me how to.",37.3,42.24
"Boy she got that water, think man got that water.",52.96,56.4
Don't act like you don't know.,56.66,58.14
"Giddy up, giddy up.",58.76,59.72
Don't pay me in gold.,60.84,62.0
"Giddy up, giddy up.",62.52,63.62
"Back outside, I'm on the road.",63.96,65.72
"Giddy up, giddy up.",65.72,67.32
When the sun goes down.,67.68,69.7
It's night of night of pain.,69.98,71.38
You can hear her body howl.,71.62,73.55
It's night of pain.,73.55,75.16
You hear her eye in me like howl.,75.54,77.42
I'm on the side of a patch.,77.42,78.98
I'll drive your man when a hangman coming down.,79.04,81.06
She's a tyrant.,81.12,83.26
"Every time I ride it, every time I ride it.",83.56,87.16
Make it look so good.,87.24,88.84
Try to justify it.,89.04,90.94
Boy you know they're looking for me.,91.16,92.98
How we gonna hide it?,93.04,94.8
Try to look hydraulic.,95.04,96.22
I am such a tyrant.,97.04,98.5
"Every time I ride it, every time I ride it.",99.04,102.36
I don't like to sit up in the saddle.,102.64,104.68
Boy I got it.,104.9,106.2
"Just relax, I got this.",106.42,108.1
I got that exotic.,108.32,109.72
It's so so hypnotic.,110.22,111.98
I am such a tyrant.,112.12,113.54
So you with me or not?,114.44,115.66
Throw it back.,116.3,116.88
Shoot up the bar.,118.48,121.04
To tell a lie we don't remember.,121.08,123.04
"And after that, stop.",123.04,125.01
Giddy up to me.,125.01,127.08
"At a scene of 5'9"".",128.76,129.06
To confine what a tragedy.,129.76,131.06
Trying to get away.,131.06,131.4
Riding you while we trying to get your way.,132.04,133.32
That's so sexy and I know it.,134.04,135.44
And I'm afraid to show it.,136.04,137.28
Baby I'm go-de-baby I'm go-ing.,138.04,139.18
"Hey, hey, hey, I'm the run-run.",140.04,141.36
Tie me on the shoulder when you reload the gun.,142.04,143.36
Tyrant.,146.9,147.02
"Every time I ride it, every time I ride it.",147.02,148.08
Make it look so good.,148.08,149.86
Try to justify it.,150.04,151.88
Boy you know they're looking for me.,152.1,153.92
How we gonna hide it?,154.04,155.7
Try to look hydraulic.,156.04,157.34
You're a tyrant.,158.54,159.5
Did you get used to the haunting?,160.04,162.2
The haunting.,162.54,163.88
The haunting.,165.99,166.79
You're just sending me.,167.37,168.83
She got that water.,182.94,183.96
Hangman got that water.,184.94,185.92
Don't act like you don't know.,186.94,187.64
"Giddy up, giddy up.",188.94,191.94
Don't pay me in gold.,191.94,193.98
"Giddy up, giddy up.",195.14,195.98
"Back outside, I'm on the road.",195.98,198.0
"Giddy up, giddy up.",199.06,199.94
When the sun goes down.,200.6,201.94
Can't hear this body howl.,201.94,203.15
"Giddy up, giddy up.",203.15,204.96
Don't dig a dent.,205.02,206.08
Can't leave me alone.,207.64,209.94
"If I do, if I don't.",211.92,212.04
Okay.,213.92,213.94
Tyrant.,213.94,214.52
"Every time I ride it, every time I ride it.",214.94,216.68
Make it look so good.,216.94,218.1
Try to justify it.,218.94,220.46
Boy you know they're looking for me.,220.94,222.5
How we gonna hide it?,222.94,224.28
Try to look hydraulic.,224.94,226.14
I am such a tyrant.,226.94,228.08
"Every time I ride it, every time I ride it.",229.82,231.92
"In the end, this will sit up in the snare.",232.1,233.92
"Oh boy, I got it.",234.1,235.7
"Just relax, I got this.",235.96,237.56
I got that exotic.,237.76,239.26
This hip's so hypnotic.,239.72,241.42
I am such a tyrant.,241.64,243.24
Answer me now.,244.3,245.72
You owe me a debt.,246.1,247.58
You stole him from me.,248.02,249.48
I hate it.,249.74,250.82
I hate you now.,251.1,253.26
Just tell me how.,253.88,255.24
Tell me how.,255.34,256.36
I hate it.,257.6,257.68
