start	end	text
22000	22160	I
22160	22540	follow
22540	23200	the
23200	23680	Moscow
23680	25520	down
25520	26040	to
26040	27520	Gonkipok
27520	28800	listening
28800	29540	to
29540	29920	the
29920	30480	wind
30480	31540	of
31540	32340	change
36310	36450	An
36450	37170	august
37170	37630	summer
37630	38250	night
38250	39120	soldiers
39930	40890	passing
40890	41470	by
41470	43090	listening
43090	43810	to
43810	44190	the
44190	44730	wind
44730	45810	of
45810	46850	change
71070	71290	The
71290	71550	world
71550	71970	is
71970	72610	closing
72610	73270	in,
74330	74710	did
74710	75070	you
75070	75670	ever
75670	76610	think
76610	77650	that
77650	77850	we
77850	78230	could
78230	78670	be
78670	79050	so
79050	79610	close
79610	80670	like
80670	81810	brothers
85390	85570	The
85570	86130	futures
86130	86790	in
86790	87070	the
87070	87530	air
87530	88730	can
88730	89010	feel
89010	89510	it
89510	90370	everywhere,
91150	92210	blowing
92210	93030	with
93030	93350	the
93350	93890	wind
93890	94970	of
94970	96050	change
102030	102830	To
102830	103030	the
103030	103510	magic
103510	104210	of
104210	104450	the
104450	105030	moment,
105770	105870	an
105870	107530	aglory
107530	108010	night
108010	109210	where
109210	109390	the
109390	109690	children
109690	110510	of
110510	111270	tomorrow
111270	111630	be
112140	112380	my
112380	113280	wings
114320	114800	in
114800	114960	the
114960	115200	wind
115200	115500	of
115500	116440	change
126650	127170	Walking
127170	127950	down
127950	128210	the
128210	128690	street,
129790	130390	distant
130390	131650	memories
131650	133170	are
133170	133730	buried
133730	134350	in
134350	134570	the
134570	135390	past
135390	136510	forever
141390	141410	I
141410	141630	follow
141630	142070	the
142070	142570	Moscow
142570	144450	down
144450	144970	to
144970	146670	Gonkipok
146670	147670	listening
147670	148450	to
148450	148810	the
148810	149470	wind
149470	150470	of
150470	151790	change
157980	158300	To
158300	158560	the
158560	159120	magic
159120	159700	of
159700	159940	the
159940	160500	moment,
161130	161370	an
161370	162590	aglory
164010	164290	night
164290	164670	where
164670	164890	the
164890	165250	children
165250	166010	of
166010	166810	tomorrow
166810	167120	be
170310	170430	my
170430	170450	wings
170450	170470	in
170470	170490	the
170490	170670	wind
170670	170990	of
170990	171790	change
175780	175980	The
175980	176260	wind
176260	176480	of
176480	176880	change
176880	177280	blows
177280	177920	straight
177920	179200	into
179200	179560	the
179560	180080	face
180080	180480	of
180480	181060	time
181060	181760	like
181760	182040	a
182040	182340	storm
182340	182740	wind
182740	183300	that
183300	183620	will
183620	184120	ring
184120	184680	the
184680	185080	freedom
185080	185660	bell
185660	186300	for
186300	186540	peace
186540	186880	of
186880	187320	mind
188400	188820	Lady
188820	189140	of
189140	189820	Alalaka
189820	190440	sing
190440	191060	what
191060	191300	my
191300	191740	guitar
191740	192900	wants
192900	193220	to
193220	193920	sing
227710	227970	To
227970	228250	the
228250	228670	magic
228670	229430	of
229430	229690	the
229690	230270	moment,
231030	231150	an
231150	232790	aglory
232790	233270	night
233270	234430	where
234430	234610	the
234610	234990	children
234990	235770	of
235770	236530	tomorrow
236530	237170	be
237170	237550	my
237550	238250	wings
239340	239980	in
239980	240160	the
240160	240420	wind
240420	240700	of
240700	241600	change
