Please snap them cross-line,5.46,7.48
It looks like they're spinning the crime,8.02,10.16
"And ooh, it's your favorite side",10.38,12.86
Tempted murder of my mind,13.28,15.52
Can't even have a conversation,15.66,17.28
Without you breaking,17.42,18.38
"Character tagging, going chasing",18.42,20.0
Two faces don't be a cold thing,20.38,22.26
Wherever you came from,22.46,23.73
Before I let you get inside my brain,23.73,26.3
"And get in line, get in line",26.44,29.14
"And lie, lie, lie, lie",30.37,31.91
You were not the first to try,32.11,34.43
That I luck next time,34.59,36.99
"Party, but you couldn't put me",37.31,41.88
"You tried your act, you can't keep up",45.62,59.53
Did you miss me bitch?,59.53,60.69
Did you reminisce?,61.05,62.03
Running my death certificate,62.03,63.67
You almost got away with it,64.31,66.01
But the rapist snits,66.31,67.34
Now you got to admit to,67.34,69.19
"Your crimes, lie so, so slight",69.59,72.25
"Well, you're gonna be like",72.67,73.77
"Like, like, like, like",73.77,75.03
Stopping so tight,75.88,76.93
Yeah,76.93,77.49
But you just had to decide to,77.79,79.83
"Get in line, get in line",80.03,82.49
"And lie, lie, lie, lie",83.89,85.29
You were not the first to try,85.43,87.77
That I luck next time,88.07,90.37
"Party, but you couldn't put me",90.67,95.06
"You tried your act, you can't keep up",95.06,110.16
"Your party, but you couldn't put me",110.26,119.57
Back in the first step,123.05,124.55
We sucked the shit that did this,124.63,126.97
"Exceed, talking up in toss and",127.01,129.87
Welcome to live in that to me,129.91,133.03
My life in the first step,133.31,135.04
We sucked the shit that did this,135.04,137.51
"Exceed, talking up in toss and",137.51,140.51
Welcome to live in that to me,140.61,143.71
"That's to me, that's to me",144.03,146.29
"That's to me, that's to me",146.67,149.14
Party back,149.14,151.02
Thought you could put me in a,152.2,154.56
Party back,154.6,156.34
"You tried your best, but you would never",157.62,160.22
