start	end	text
13620	14040	Hello
14040	14560	there,
16520	16660	the
16660	17140	angel
17140	17540	from
17540	17840	the
17840	18260	nightmare,
19020	19380	the
19380	19740	shadow
19740	20500	in
20500	20680	the
20680	21220	background
21220	21660	of
21660	21800	the
21800	22340	morgue,
23100	23280	the
23280	24380	unsuspected
24380	25120	victim
25120	25870	of
27190	27770	darkness
27770	28270	in
28270	28510	the
28510	29050	valley.
29550	29710	We
29710	29890	can
29890	30230	live
30230	30590	like
30590	30930	Jack
30930	31170	and
31170	31710	Sally
31710	32090	if
32090	32310	we
32310	32690	want,
33710	33970	where
33970	34270	you
34270	34550	can
34550	35150	always
35150	35650	find
35650	36070	me.
37230	37410	And
37410	37810	we'll
37810	38050	have
38050	38730	Halloween
38730	39230	on
39230	39750	Christmas,
40490	40610	and
40610	40730	in
40730	40870	the
40870	41250	night
41250	42190	we'll
42190	42450	wish
42450	42750	this
42750	43090	never
43090	43610	ends.
44750	44930	We'll
44930	45110	wish
45110	45430	this
45430	45830	never
45830	46370	ends.
54900	54960	I
54960	55460	miss
55460	55760	you,
56160	56200	I
56200	56640	miss
56640	57120	you.
66210	66510	Where
66510	66830	are
66830	67250	you?
67310	68570	And
68570	68810	I'm
68810	69090	so
69090	69710	sorry.
71540	71820	I
71820	72260	cannot
72260	72800	sleep,
73000	73160	I
73160	73580	cannot
73580	74180	dream
74180	74800	tonight.
75600	75800	I
75800	76140	need
76140	76840	somebody
76840	77280	and
77280	77820	always.
79210	79550	This
79550	79890	sick,
79990	80650	strange
80650	81610	darkness
81610	82410	comes
82410	82970	creeping
82970	83410	on
83410	83870	so
83870	84510	hot
84510	84810	in
84810	85070	every
85070	85650	time,
86430	86650	and
86650	86970	as
86970	87250	I
87250	87670	said
87670	87970	I
87970	88530	can't
90400	90600	The
90600	90960	webs
90960	91280	from
91280	91540	all
91540	91720	the
91720	92360	spiders,
92860	93820	catching
93820	94320	things
94320	94640	and
94640	95080	eating
95080	95620	their
95620	96480	insides
96480	97280	like
97280	98300	indecision
98300	98560	to
98560	98940	call
98940	99280	you.
101030	101230	And
101230	101550	hear
101550	101890	your
101890	102190	voice
102190	102470	of
102470	103050	treason,
103310	103690	will
103690	103850	you
103850	104110	come
104110	104590	home
104590	105130	and
105130	105450	stop
105450	105770	this
105770	106130	pain
106130	106590	tonight?
107710	108050	Stop
108050	108410	this
108410	108930	pain
108930	109930	tonight.
119530	119990	Don't
119990	120370	waste
120370	120790	your
120790	121210	time
121210	121610	on
121610	122170	me,
122770	123310	you're
123310	124010	already
124010	124470	the
124470	125010	voice
125010	126390	inside
126390	127170	my
127170	127970	head.
130130	130550	Don't
130550	130830	waste
130830	131290	your
131290	131730	time
131730	132110	on
132110	132630	me,
133130	133710	you're
133710	134370	already
134370	134790	the
134790	135450	voice
135450	136770	inside
136770	137790	my
137790	138410	head.
164730	164910	And
164910	165350	don't
165350	165670	waste
165670	166090	your
166090	166510	time
166510	166870	on
166870	167230	me,
167990	168530	you're
168530	169170	already
169170	169570	the
169570	170150	voice
170150	171390	inside
171390	172130	my
172130	172850	head.
174690	174870	And
174870	175290	don't
175290	175650	waste
175650	176050	your
176050	176510	time
176510	176910	on
176910	177450	me,
177910	178390	you're
178390	179030	already
179030	179510	the
179510	180190	voice
180190	181450	inside
181450	182210	my
182210	182950	head.
184850	185570	Don't
185570	185870	waste
185870	186250	your
186250	186670	time
186670	187050	on
187050	187610	me,
188230	188530	you're
188530	189170	already
189170	189550	the
189550	190210	voice
190210	191410	inside
191410	192150	my
192150	192870	head.
195000	195380	Don't
195380	195760	waste
195760	196120	your
196120	196640	time
196640	197440	on
197440	197860	me,
197980	198520	you're
198520	199280	already
199280	199980	the
199980	200560	voice
200560	201580	inside
201580	202580	my
202580	203080	head.
215440	215590	I
215590	216090	miss
216090	216470	you,
216690	217210	I
217210	217230	miss
217230	217830	you,
225290	225370	I
225370	225730	miss
225730	227410	you,
236170	236370	I
236370	236850	miss
236850	237370	you.
