start	end	text
520	3580	It's a test of the ancient firebenders to keep the flame.
33270	34090	I make love to
35030	37630	Dancing out of all my mind
50190	51890	And as the day is long
52610	54250	Something I can promise ya
54530	56250	That if I was the mother of the president
57010	58910	I'd hire 20 circus for my cabinet
59530	61670	Shot out full of mouths, need not apply
61890	64350	If you never hear another word, you know the reason why
65330	67090	There's something you should know
68110	69850	I declare you're stoked
70390	72650	I don't wanna be your man no more
73270	74490	I wanna make love to
75430	78110	Dancing out of all my mind
79210	82750	I don't wanna be your man no more
83170	84610	I wanna make love to
85230	88170	Dancing out of all my mind
110700	113040	I don't wanna be your man no more
113600	114940	I wanna make love to
115900	118500	Dancing out of all my mind
119600	123140	I don't wanna be your man no more
123580	125780	I wanna make love to
125960	128180	Dancing out of all my mind
130930	132750	There's something you should know
133840	135260	I declare you're stoked
136040	137700	There's something you should know
138800	140330	I declare you're stoked
141090	142670	There's something you should know
143850	145320	I declare you're stoked
146120	149800	There's something you should know
149800	150760	I declare you're stoked
