I,24.49,24.83
met,24.83,25.17
you,25.17,25.67
when,25.67,26.11
I,26.11,26.39
had,26.39,26.69
a,26.69,26.81
dream,26.81,27.19
Not,28.09,28.37
so,28.37,28.65
long,28.65,29.13
ago,29.13,29.81
it,29.81,30.01
seems,30.01,30.53
We,31.07,31.43
closed,31.43,31.87
down,31.87,32.43
a,32.43,32.79
million,32.79,33.11
bars,33.11,33.61
"Yeah,",34.23,34.49
you,34.55,34.77
and,34.77,34.93
"me,",34.93,35.31
we've,35.71,35.95
come,35.95,36.15
so,36.15,36.43
far,36.43,36.77
You,37.37,37.51
showed,37.51,37.83
me,37.83,38.15
how,38.15,38.69
to,38.69,39.03
write,39.03,39.33
a,39.33,39.49
song,39.49,39.99
We,40.55,40.67
wrote,40.67,40.89
some,40.89,41.19
"rite,",41.19,41.87
we,42.09,42.19
wrote,42.19,42.49
some,42.49,42.77
wrong,42.77,43.15
I,43.45,43.67
was,43.67,43.81
down,43.81,44.29
and,44.29,44.69
"out,",44.69,45.07
you,45.25,45.43
let,45.43,45.63
me,45.63,45.91
in,45.91,46.25
The,46.81,46.97
time,46.97,47.39
she,47.39,47.77
was,47.77,48.05
my,48.05,48.41
only,48.41,48.99
friend,48.99,49.59
So,52.59,52.87
long,52.87,53.25
nights,53.25,53.63
we,53.63,53.93
were,53.93,54.25
in,54.25,54.43
Tennessee,54.43,54.91
You,55.93,56.07
can't,56.07,56.51
have,56.51,56.91
what's,56.91,57.41
left,57.41,57.73
of,57.73,58.05
me,58.05,58.41
And,59.07,59.27
as,59.27,59.43
far,59.43,59.85
as,59.85,60.45
I,60.45,60.67
can,60.67,60.83
tell,60.83,61.21
That's,62.21,62.57
how,62.57,62.73
time,62.73,63.15
I,63.15,63.61
wish,63.61,63.91
you,63.91,64.27
were,64.27,64.71
You,64.99,65.13
built,65.13,65.49
me,65.49,65.83
"up,",65.83,66.31
you,66.63,66.73
set,66.73,67.01
me,67.01,67.21
free,67.21,67.67
You,68.41,68.69
tore,68.69,69.01
down,69.01,69.49
my,69.49,69.97
memories,69.97,70.73
So,71.33,71.47
you,71.47,71.81
be,71.81,72.15
"you,",72.15,72.69
now,73.13,73.37
be,73.37,73.77
me,73.77,74.13
So,74.77,74.99
long,74.99,75.43
nights,75.43,75.77
we,75.77,76.09
were,76.09,76.33
in,76.33,76.59
Tennessee,76.59,77.01
Now,90.77,91.03
you,91.03,91.39
won't,91.39,91.87
miss,91.87,92.21
me,92.21,92.55
when,92.55,92.87
I'm,92.87,93.19
gone,93.19,93.47
Your,93.91,94.11
custom,94.11,94.57
made,94.57,95.25
for,95.25,95.77
moving,95.77,96.13
on,96.13,96.61
And,97.21,97.35
time,97.35,97.87
to,97.87,98.15
time,98.15,98.49
I'll,98.49,98.93
pass,98.93,99.21
you,99.21,99.45
by,99.45,99.81
A,100.35,100.45
face,100.45,100.95
that,100.95,101.37
