start	end	text
5460	5840	Please
5840	6220	snap
6220	6500	them
6500	7480	cross-line
8020	8220	It
8220	8500	looks
8500	8900	like
8900	9200	they're
9200	9600	spinning
9600	9780	the
9780	10160	crime
10380	10560	And
10560	10960	ooh,
11220	11680	it's
11680	11840	your
11840	12360	favorite
12360	12860	side
13280	13880	Tempted
13880	14360	murder
14360	14840	of
14840	15120	my
15120	15520	mind
15660	16000	Can't
16000	16260	even
16260	16520	have
16520	16680	a
16680	17280	conversation
17420	17740	Without
17740	18020	you
18020	18380	breaking
18420	18800	Character
18800	19320	tagging,
19480	19560	going
19560	20000	chasing
20380	20520	Two
20520	20940	faces
20940	21340	don't
21340	21500	be
21500	21640	a
21640	21880	cold
21880	22260	thing
22460	22800	Wherever
22800	23220	you
23220	23560	came
23560	23730	from
23730	24120	Before
24120	24480	I
24480	24680	let
24680	24940	you
24940	25160	get
25160	25660	inside
25660	25980	my
25980	26300	brain
26440	26620	And
26620	26920	get
26920	27280	in
27280	27780	line,
28020	28240	get
28240	28580	in
28580	29140	line
30370	30590	And
30590	30930	lie,
31030	31250	lie,
31370	31650	lie,
31650	31910	lie
32110	32270	You
32270	32550	were
32550	32890	not
32890	33190	the
33190	33590	first
33590	33930	to
33930	34430	try
34590	34890	That
34890	35070	I
35070	35570	luck
35570	36310	next
36310	36990	time
37310	38150	Party,
40140	40160	but
40160	40820	you
40820	41320	couldn't
41320	41560	put
41560	41880	me
45620	45760	You
45760	46200	tried
46200	46540	your
51500	51670	act,
51970	52210	you
52210	52750	can't
52750	52910	keep
59340	59530	up
59530	59790	Did
59790	59950	you
59950	60210	miss
60210	60450	me
60450	60690	bitch?
61050	61170	Did
61170	61310	you
61310	62030	reminisce?
62030	62250	Running
62250	62530	my
62530	62830	death
62830	63670	certificate
64310	64490	You
64490	64910	almost
64910	65130	got
65130	65470	away
65470	65790	with
65790	66010	it
66310	66450	But
66450	66630	the
66630	67090	rapist
67090	67340	snits
67340	67790	Now
67790	67970	you
67970	68190	got
68190	68470	to
68470	68770	admit
68770	69190	to
69590	69830	Your
69830	70230	crimes,
70550	70810	lie
70810	71130	so,
71370	71790	so
71790	72250	slight
72670	72830	Well,
72890	73110	you're
73110	73150	gonna
73150	73490	be
73490	73770	like
73770	74290	Like,
74290	74510	like,
74690	74710	like,
74910	75030	like
75880	76190	Stopping
76190	76510	so
76510	76930	tight
76930	77490	Yeah
77790	77910	But
77910	78090	you
78090	78310	just
78310	78510	had
78510	78870	to
78870	79390	decide
79390	79830	to
80030	80310	Get
80310	80590	in
80590	81090	line,
81330	81590	get
81590	81910	in
81910	82490	line
83890	83990	And
83990	84310	lie,
84450	84650	lie,
84750	84990	lie,
84990	85290	lie
85430	85670	You
85670	85890	were
85890	86210	not
86210	86530	the
86530	86930	first
86930	87250	to
87250	87770	try
88070	88250	That
88250	88450	I
88450	88910	luck
88910	89630	next
89630	90370	time
90670	91530	Party,
91970	92310	but
92310	92630	you
93570	94570	couldn't
94570	94830	put
94830	95060	me
95060	95730	You
95730	95950	tried
104970	105380	your
105380	105400	act,
105400	105500	you
105500	105940	can't
105940	106190	keep
109900	110160	up
110260	110500	Your
110500	111140	party,
116880	117090	but
117090	117290	you
117290	118310	couldn't
118640	118830	put
118830	119570	me
123050	123270	Back
123270	123590	in
123590	123870	the
123870	124270	first
124270	124550	step
124630	124990	We
124990	125530	sucked
125530	125890	the
125890	126170	shit
126170	126530	that
126530	126770	did
126770	126970	this
127010	127610	Exceed,
127990	128370	talking
128370	128910	up
128910	129230	in
129230	129530	toss
129530	129870	and
129910	130730	Welcome
130730	131170	to
131170	131570	live
131570	131850	in
131850	132210	that
132210	132550	to
132550	133030	me
133310	133570	My
133570	133910	life
133910	134250	in
134250	134530	the
134530	134870	first
134870	135040	step
135040	135610	We
135610	136210	sucked
136210	136530	the
136530	136830	shit
136830	137190	that
137190	137370	did
137370	137510	this
137510	138310	Exceed,
138670	139050	talking
139050	139570	up
139570	139890	in
139890	140190	toss
140190	140510	and
140610	141290	Welcome
141290	141830	to
141830	142210	live
142210	142510	in
142510	142850	that
142850	143170	to
143170	143710	me
144030	144610	That's
144610	144730	to
144730	144950	me,
145310	145890	that's
145890	146030	to
146030	146290	me
146670	147230	That's
147230	147370	to
147370	147690	me,
148010	148430	that's
148820	148960	to
148960	149140	me
149140	150180	Party
150180	151020	back
152200	152480	Thought
152480	152840	you
152840	153160	could
153160	153540	put
153540	153920	me
153920	154360	in
154360	154560	a
154600	155480	Party
155480	156340	back
157620	157820	You
157820	158240	tried
158240	158540	your
158540	158860	best,
158980	159320	but
159320	159600	you
159600	159880	would
159880	160220	never
