Pregunta,1.51,1.89
una,1.89,2.07
adamita,2.07,2.45
que,2.45,2.79
si,2.79,2.97
cuando,2.97,3.35
fue,3.35,3.73
la,3.73,4.49
fecha,4.49,4.91
una,4.91,5.11
adamita,5.11,5.45
del,5.45,5.59
auditorio,5.59,6.31
cuando,6.31,6.65
ocurrió,6.65,7.21
el,7.21,7.75
último,7.75,8.23
eclipse,8.23,9.53
solana,9.53,10.69
yo,11.05,11.27
le,11.27,11.39
dije,11.39,11.53
que,11.53,11.71
el,11.71,11.83
9,11.83,12.05
de,12.05,12.29
perre,12.29,12.63
me,237.64,237.8
creo,237.8,238.08
que,238.08,238.26
tienes,238.26,238.42
que,238.42,238.54
irme,238.54,239.16
a,239.16,239.28
ver,239.28,239.3
yo,239.3,239.96
soy,239.96,240.04
conocido,240.04,240.62
como,240.62,240.88
el,240.88,240.9
sexo,240.9,241.92
y,241.92,242.2
quiero,242.2,242.62
irme,242.62,243.62
a,243.62,243.64
casa,243.64,243.88
este,244.56,244.78
es,244.78,244.98
mi,244.98,245.14
casa,245.14,245.32
no,245.94,246.74
es,246.74,247.1
el,247.1,247.12
sexo,247.12,247.76
635,292.09,292.49
40,292.49,293.01
30,293.01,293.41
2,293.41,293.71
no,293.71,294.21
le,294.21,294.35
dan,294.35,294.45
trabajo,294.45,294.73
porque,294.73,295.01
está,295.01,295.17
muy,295.17,295.33
joven,295.33,295.63
o,295.63,295.73
muy,295.73,295.83
viejo,295.83,296.19
