start	end	text
1080	5040	Nossa, nossa, assim você me mata
6140	10350	Ai, se eu te pego, ai, ai, se eu te pego, ai
10350	15000	Delícia, delícia, assim você me mata
16080	20470	Ai, se eu te pego, ai, ai, se eu te pego, hein
20470	33780	Um sábado na balada
34260	38620	A galera começou a dançar
41220	43920	E passou a menina mais linda
45560	48200	Tomei coragem e comecei a falar
50920	54940	Nossa, nossa, assim você me mata
56100	60260	Ai, se eu te pego, ai, ai, se eu te pego
60260	64280	Delícia, delícia, assim você me mata
64280	70580	Ai, se eu te pego, ai, ai, se eu te pego, hein
70580	83840	Um sábado na balada
86180	88640	A galera começou a dançar
91160	93940	E passou a menina mais linda
95580	98100	Tomei coragem e comecei a falar
98140	103180	Nossa, nossa, assim você me mata
103180	110390	Ai, se eu te pego, ai, ai, se eu te pego, ai
110390	115000	Delícia, delícia, assim você me mata
115200	120500	Ai, se eu te pego, ai, ai, se eu te pego, hein
128670	129910	Eu quero ouvir só vocês agora
130890	137680	Nossa, ai, se eu te pego
140110	144860	Delícia, delícia, assim você me mata
145100	150480	Ai, se eu te pego, ai, ai, se eu te pego, hein
157550	158510	Que delícia, hein
159370	160550	Ai, se eu te pego
