start	end	text
12130	12490	I'm
12490	12650	like
12650	12830	the
12830	13110	water
13110	13370	when
13370	13530	your
13530	13790	ship
13790	14190	rolled
14190	14570	in
14570	14870	that
14870	15290	night
17730	18090	Rough
18090	18410	on
18410	18530	the
18530	18810	surface
18810	19070	but
19070	19250	you
19250	19490	cut
19490	19830	through
19830	20290	like
20290	20610	a
20610	21130	knife
24130	24270	And
24270	24470	if
24470	24630	it
24630	24830	was
24830	25010	an
25010	25230	open
25230	25550	shut
25550	26170	case
27010	27130	I
27130	27390	never
27390	27850	would've
27850	28090	known
28090	28350	from
28350	28550	that
28550	28730	look
28730	28930	on
28930	29110	your
29110	29550	face
29990	30250	Lost
30250	30550	in
30550	30690	your
30690	31010	current
31010	31250	like
31250	31410	a
31410	32470	priceless
32470	33230	wine
35510	35670	The
35670	35870	more
35870	36050	that
36050	36270	you
36270	36730	say,
36990	37130	the
37130	37370	less
37370	37750	I
37750	38030	know
38450	38750	Wherever
38750	39150	you
39150	39470	stray,
39890	39970	I
39970	40610	follow
41290	41390	I'm
41390	41670	begging
41670	42030	for
42030	42430	you
42430	42810	to
42810	43070	take
43070	43430	my
43430	43870	hand
44010	44570	Ripped
44570	44850	my
44850	45410	plans,
45570	46130	that's
46130	46330	my
46330	46770	man
47770	48050	Life
48050	48390	was
48390	48550	a
48550	48950	willow
48950	49130	and
49130	49310	it
49310	49510	bent
49510	49830	right
49830	50190	to
50190	50610	your
50610	51010	wind
53530	53830	Head
53830	54110	on
54110	54250	the
54250	54530	pillow
54530	54790	I
54790	54930	could
54930	55230	feel
55230	55570	you
55570	56150	sneaking
56150	57430	in
59840	60020	As
60020	60160	if
60160	60340	you
60340	60540	were
60540	60680	a
60680	61080	mythical
61080	61800	thing
62780	63000	Like
63000	63240	you
63240	63400	were
63400	63520	a
63520	63800	trophy
63800	64160	or
64160	64260	a
64260	64600	champion
64600	65180	ring
65600	65860	There
65860	66060	was
66060	66300	one
66300	66740	prize
66740	67140	I'd
67140	67700	cheat
67700	68300	to
68300	68640	win
71230	71370	The
71370	71570	more
71570	71790	that
71790	71990	you
71990	72430	say,
72710	72790	the
72790	73070	less
73070	73470	I
73470	73730	know
74170	74490	Wherever
74490	74850	you
74850	75230	stray,
75650	75790	I
75790	76570	follow
76730	77070	I'm
77070	77390	begging
77390	77750	for
77750	78170	you
78170	78510	to
78510	78770	take
78770	79170	my
79170	79610	hand
79970	80250	Ripped
80250	80570	my
80570	81090	plans,
81450	81770	that's
81770	82030	my
82030	82510	man
82690	82850	You
82850	83030	know
83030	83190	that
83190	83450	my
83450	83890	train
83890	84230	could
84230	84510	take
84510	84870	you
84870	85330	home
85690	86290	Anywhere
86290	86910	else
86910	87150	is
87150	87730	hollow
88450	88590	I'm
88590	88810	begging
88810	89150	for
89150	89590	you
89590	89930	to
89930	90210	take
90210	90550	my
90550	91050	hand
91350	91670	Ripped
91670	91990	my
91990	92550	plans,
92910	93210	that's
93210	93470	my
93470	94050	man
97730	98070	Life
98070	98410	was
98410	98590	a
98590	98990	willow
98990	99150	and
99150	99270	it
99270	99530	bent
99530	99890	right
99890	100250	to
100250	100590	your
100590	101290	wind
103800	104020	They
104020	104320	count
104320	104600	me
104600	104980	out
104980	105460	time
105460	105680	and
105680	106020	time
106020	106500	again
109140	109500	Life
109500	109840	was
109840	110000	a
110000	110380	willow
110380	110560	and
110560	110700	it
110700	110960	bent
110960	111300	right
111300	111700	to
111700	112080	your
112080	112580	wind
115170	115510	I
115510	115870	come
115870	116110	back
116110	116570	stronger
116570	116990	than
116990	117170	a
117170	117830	90's
117830	118210	trend
119170	119490	Wait
119490	119790	for
119790	119950	the
119950	120250	signal
120250	120550	and
120550	120690	I'll
120690	120910	meet
120910	121290	you
121290	121870	after
121870	122570	dark
124860	125200	Show
125200	125500	me
125500	125640	the
125640	125960	places
125960	126240	where
126240	126420	the
126420	126920	others
126920	127400	gave
127400	127960	you
127960	128860	scars
131300	131560	Now
131560	131820	this
131820	132000	is
132000	132180	an
132180	132360	open
132360	132660	shut
132660	133320	case
134160	134360	I
134360	134480	guess
134480	134640	I
134640	134820	should
134820	135000	have
135000	135220	known
135220	135480	from
135480	135700	that
135700	135880	look
135880	136080	on
136080	136280	your
136280	136740	face
137140	137440	Every
137440	137680	bit
137680	137820	and
137820	138040	switch
138040	138420	was
138420	138580	a
138580	138900	work
138900	139900	of
139900	140560	art
142670	142790	The
142790	143010	more
143010	143230	that
143230	143430	you
143430	143870	say,
144150	144250	the
144250	144490	less
144490	144870	I
144870	145250	know
145510	145870	Wherever
145870	146270	you
146270	146690	stray,
147070	147110	I
147110	147630	follow
