It's a test of the ancient firebenders to keep the flame.,0.0,7.0
I don't wanna be your man no more. I wanna make love to a...,30.0,35.0
Nessun Dada on my mind.,35.0,39.0
"And as the day is long, something I can promise ya,",50.0,54.0
"That if I was a mother f***ing president, I'd hire 20 strippers for my cabinet.",54.0,59.0
"Shout out for amounts need not apply, if you never hear another word, you know the reason why.",59.0,65.0
"There's something you should know, I declare you're stoked.",65.0,70.0
I don't wanna be your man no more. I wanna make love to a...,70.0,75.0
Nessun Dada on my mind.,75.0,79.0
I don't wanna be your man no more. I wanna make love to a...,80.0,85.0
Nessun Dada on my mind.,85.0,89.0
Well I don't wanna be your man no more. I wanna make love to a...,89.0,115.0
Nessun Dada on my mind.,115.0,119.0
I don't wanna be your man no more. No quiero sentir tu amor.,120.0,125.0
Nessun Dada en mi mente.,125.0,129.0
"There's something you should know, I declare you're stoked.",130.0,135.0
"There's something you should know, I declare you're stoked.",135.0,140.0
"There's something you should know, I declare you're stoked.",141.0,145.0
"There's something you should know, I declare you're so stoked.",146.0,151.0
