"Perdona, si me enamoras de traicionas Ay ay ay ay, en mi cama",0.0,6.98
La otra noche te vi con mi pana,7.84,9.84
"Así se pone duro, duro duro duro",11.19,13.93
"No es todo un matazero, hace mi orgullo",13.99,16.79
"Si se pone duro, duro duro duro",16.93,19.25
"No sé cómo olvidarte, puto te lo juro",19.25,22.37
Soy problemática en la cama,23.45,25.21
Pero así lo arreglamos,26.37,28.03
No creo que es un drama,29.01,30.83
"Soy una princesa, me gusta cuando gritamos",31.71,34.49
Yo tengo tu fotodita pa besarte tu boquita,34.69,40.03
"Y cuando te necesita, yo quiero que me trasbien",40.33,45.91
Yo tengo tu fotodita pa besarte tu boquita,45.95,51.33
"Y cuando te necesita, yo quiero que me trasbien",51.61,57.33
"Perdona, si me enamoras de traicionas Ay ay ay ay, en mi cama",59.89,66.27
La otra noche te vi con mi pana,67.13,69.13
"Así se pone duro, duro duro duro",70.47,73.19
"No es todo un matazero, hace mi orgullo",73.21,76.09
"Si se pone duro, duro duro duro",76.15,78.8
"No sé cómo olvidarte, puto te lo juro",78.8,81.67
Pero tengo un tatuaje en mi seno,82.15,85.37
Es la marca en mi piel de la noche anterior,85.75,88.27
"No te acuerdas, me quitas el sueño",88.59,90.97
Que sentimiento yo necesito medicación,91.27,93.97
"Yo te lo di, te lo adretí",94.05,96.35
Tengo el número del cartel caro que sí,96.67,99.15
"Yo te lo di, pero uno...",99.69,102.25
¡A la tarifa bebé!,102.35,103.35
¡Es un robo!,104.02,104.7
Yo tengo tu fotodita pa besarte tu boquita,105.18,110.64
"Y cuando te necesita, yo quiero que me trasbien",110.66,116.48
Yo tengo tu fotodita pa besarte tu boquita,116.48,121.9
"Y cuando te necesita, yo quiero que me trasbien",122.18,127.88
"Perdona, si me enamoras de traicionas Ay ay ay ay, en mi cama",128.2,136.92
La otra noche previco mi pana,137.64,139.72
"Así se pone duro, duro duro duro",141.06,143.8
"Con esto no es un matazero, hace mi orgullo",143.8,146.68
"Si se pone duro, duro duro duro duro",146.84,149.33
"No sé cómo olvidarte, puto te lo juro",149.33,152.24
