start	end	text
18780	19040	When
19040	19260	you
19260	19520	were
19520	19920	a
19920	20240	fool,
23250	23980	couldn't
23980	24260	look
24260	24540	you
24540	24720	in
24720	25000	the
25000	25400	eye
28920	29100	You're
29100	29360	just
29360	29740	like
29740	30100	an
30100	31080	angel,
33950	34150	your
34150	34410	skin
34410	34830	makes
34830	35110	me
35110	35650	cry
39050	39230	You
39230	39570	float
39570	39970	like
39970	40230	a
40230	41150	feather
41150	42740	in
44380	44520	a
44520	44960	beautiful
44960	46220	world
49620	49800	I
49800	50080	wish
50080	50400	I
50400	50560	was
50560	51520	special,
54610	54850	you're
54850	55170	so
55170	55690	fucking
55690	56690	special
59990	60230	But
60230	60610	I'm
60610	60870	a
60870	61470	creep,
65350	65850	I'm
65850	66090	a
66090	67170	little
70040	70280	What
70280	70500	the
70500	70820	hell
70820	71040	am
71040	71200	I
71200	71520	to
71520	72520	hear?
75730	76110	I
76110	76510	don't
76510	76990	belong
76990	78030	here
80940	81100	I
81100	81460	don't
81460	81700	care
81700	81960	if
81960	82120	it
82120	82600	hurts
86150	86310	I
86310	86530	wanna
86530	86870	have
86870	87670	control,
91460	91580	I
91580	91760	want
91760	91880	a
91880	92340	perfect
92340	93280	body
96650	96810	I
96810	96990	want
96990	97110	a
97110	97550	perfect
97550	98410	soul,
101880	102000	I
102000	102240	want
102240	102620	you
102620	102880	to
102880	103920	notice
107110	107330	What
107330	107690	I'm
107690	107970	not
107970	108630	around,
112290	112730	so
112730	113290	fucking
113290	114450	special
117410	117690	I
117690	118090	wish
118090	118490	I
118490	118690	was
118690	119690	special
122820	123020	But
123020	123420	I'm
123420	123700	a
123700	124260	creep,
128260	128740	I'm
128740	129100	a
129100	129980	little
132960	133280	What
133280	133540	the
133540	133840	hell
133840	134020	am
134020	134240	I
134240	134520	to
134520	135360	hear?
138730	139090	I
139090	139570	don't
139570	140030	belong
140030	141070	here
149850	150350	I
150350	150650	don't
150650	150870	belong
160330	161040	here
185270	185390	I
185390	185910	don't
185910	186670	belong
190030	191810	here
194930	195770	I
195770	195790	don't
195790	196210	belong
196210	197410	here
200790	203350	I
206000	206460	don't
206460	206600	belong
206600	207400	here
215940	218480	I
221810	222330	don't
222330	222810	belong
222810	223210	here
226830	227010	I
227010	227590	don't
227590	227990	belong
227990	229090	here
229090	229110	I
229110	229330	don't
229330	229350	belong
229350	229370	here
