Que,10.99,11.43
mais,11.43,11.85
tem,11.85,12.05
de,12.05,12.27
acontecer,12.27,13.27
no,13.27,13.43
mundo,13.43,14.75
para,16.01,16.75
inverter,16.75,17.07
o,17.07,17.27
teu,17.27,17.47
coração,17.47,18.25
para,18.25,18.31
mim?,18.31,18.83
Que,21.35,21.37
quantidade,21.37,22.11
de,22.11,22.43
lágrimas,22.43,22.83
devo,22.83,23.11
deixar,23.11,23.67
cair?,23.67,24.39
Que,24.83,24.85
flor,24.85,25.35
tem,25.35,25.59
que,25.59,25.83
nascer,25.83,26.47
para,26.47,27.05
ganhar,27.05,27.73
o,27.73,27.75
teu,27.75,27.81
amor?,27.81,28.31
Por,31.29,31.79
esse,31.79,31.87
"amor,",31.87,32.31
meu,32.51,32.53
"Deus,",32.53,32.85
eu,33.21,33.23
ofeço,33.23,33.87
tudo.,33.87,34.79
Te,36.37,36.39
clamo,36.39,36.71
os,36.71,37.07
poemas,37.07,37.47
mais,37.47,37.79
lindos,37.79,38.55
do,38.55,39.01
universo.,39.01,39.71
A,41.22,41.48
ver,41.48,42.18
se,42.18,42.28
te,42.28,42.46
convenço,42.46,43.9
que,43.9,44.64
a,44.64,44.94
minha,44.94,44.96
alma,44.96,46.0
nasceu,46.0,47.48
para,47.48,48.08
ti.,48.08,48.58
Será,50.93,51.85
preciso,51.85,52.03
um,52.03,52.47
milagre,52.47,53.97
para,55.53,56.17
que,56.17,56.23
o,56.23,56.55
meu,56.55,56.57
coração,56.57,57.33
se,57.33,58.07
alegre.,58.07,58.81
"Juro,",60.94,61.32
não,61.62,61.76
vou,61.76,61.96
"desistir,",61.96,62.86
faça,63.7,63.74
"chuva,",63.74,64.6
faça,64.76,65.1
"sol,",65.1,65.68
porque,66.12,66.24
eu,66.24,66.34
preciso,66.34,66.94
de,66.94,67.12
ti,67.12,67.78
para,67.78,68.16
seguir.,68.16,68.72
Quem,69.66,70.06
me,70.06,70.42
dera,70.42,71.0
abraçar-te,71.0,73.08
no,73.08,73.14
"outono,",73.14,73.9
no,74.02,74.3
verão,74.3,74.6
e,74.6,74.98
primavera.,74.98,76.53
Quisa,77.2,77.82
viver,77.82,78.18
além,78.18,79.12
um,79.12,79.28
"quimera,",79.28,80.32
herdar,82.04,82.44
a,82.44,82.82
sorte,82.82,83.2
e,83.2,83.52
ganhar,83.52,83.84
teu,83.84,84.4
coração.,84.4,85.28
Será,110.06,111.22
preciso,111.22,111.5
uma,111.5,111.94
tempestade,111.94,113.68
para,114.77,115.54
perceber-se,115.54,116.36
que,116.36,116.52
o,116.52,116.6
meu,116.6,116.62
amor,116.62,117.12
é,117.12,117.28
de,117.28,117.3
verdade.,117.3,117.32
Te,120.45,120.47
procuro,120.47,120.85
nos,120.85,121.11
autodosos,121.11,121.57
da,121.57,122.59
"cidade,",122.59,122.61
nas,122.93,123.51
luzes,123.51,123.57
dos,123.57,123.99
"faróis,",123.99,124.81
nos,125.37,125.67
meros,125.67,125.93
mortais,125.93,126.65
como,126.65,127.09
nós.,127.09,127.11
O,129.77,130.09
meu,130.09,130.51
amor,130.51,131.61
é,131.61,131.63
"puro,",131.63,132.59
é,134.92,135.02
tão,135.02,135.16
grande,135.16,135.56
e,135.56,135.72
resistente,135.72,136.46
como,136.46,136.9
um,136.9,137.06
bandeiro.,137.06,137.08
Por,137.14,138.88
ti,139.57,140.06
eu,140.06,140.26
vou,140.26,140.6
onde,140.6,141.14
nunca,141.14,141.76
"iria,",141.76,143.28
por,143.88,143.94
ti,143.94,144.88
eu,144.88,145.14
sou,145.14,145.52
o,145.52,145.78
que,145.78,145.84
nunca,145.84,146.16
seria.,146.16,146.28
Quem,148.3,148.92
me,148.92,149.18
dera,149.18,150.58
abraçar-te,150.58,152.02
no,152.02,152.22
"outono,",152.22,152.96
no,153.16,153.26
verão,153.26,153.68
e,153.68,153.8
primavera.,153.8,154.28
Quisa,156.16,156.72
viver,156.72,157.36
além,157.36,158.22
um,158.22,158.38
"quimera,",158.38,159.44
herdar,161.24,161.64
a,161.64,162.0
sorte,162.0,162.4
e,162.4,162.64
ganhar,162.64,162.98
teu,162.98,163.0
coração.,163.0,163.02
Quem,169.73,169.75
me,169.75,169.77
dera,169.77,169.95
abraçar-te,169.95,171.85
no,171.85,172.13
"outono,",172.13,172.93
no,172.93,172.95
verão,172.95,173.57
e,173.57,173.93
primavera.,173.93,174.99
Quisa,177.85,177.87
viver,177.87,177.89
além,177.89,178.19
um,178.19,178.35
"quimera,",178.35,179.53
herdar,181.03,181.47
a,181.47,181.79
sorte,181.79,182.29
e,182.29,182.55
ganhar,182.55,183.03
teu,183.03,184.05
coração.,185.58,186.94
Quem,228.27,228.29
me,228.29,228.65
dera,228.65,229.75
abraçar-te,229.75,231.67
no,231.67,231.91
"outono,",231.91,232.85
no,232.93,233.17
verão,233.78,234.0
e,234.0,234.14
primavera.,234.14,234.98
