See,28.0,28.28
the,28.28,28.64
stone,28.64,29.16
set,29.16,29.88
in,29.88,30.38
your,30.38,30.78
eyes,30.78,31.4
See,32.58,32.68
the,32.68,32.98
thorn,32.98,33.74
twist,33.74,34.12
in,34.12,34.72
your,34.72,35.1
side,35.1,35.64
I'll,37.08,37.4
wait,37.4,37.82
for,37.82,39.44
you,39.44,40.06
Sleight,45.57,46.03
of,46.03,46.23
hand,46.23,46.61
and,46.61,47.41
twist,47.41,47.73
of,47.73,48.25
fate,48.25,48.75
On,49.55,49.63
a,49.63,49.69
bed,49.69,50.05
of,50.05,50.49
nails,50.49,50.97
she,50.97,51.63
makes,51.63,52.17
me,52.17,52.55
wait,52.55,52.99
And,54.41,54.51
I'll,54.51,54.93
wait,54.93,55.43
without,55.43,57.15
you,57.15,57.93
With,60.55,60.87
or,60.87,61.19
without,61.19,61.65
you,61.65,62.47
With,64.9,65.24
or,65.24,65.62
without,65.62,66.22
you,66.22,67.54
Through,71.72,71.88
the,71.88,72.16
storm,72.16,72.72
we,72.72,73.3
reach,73.3,73.92
the,73.92,74.12
shore,74.12,74.8
You,75.72,75.78
give,75.78,76.2
it,76.2,76.64
all,76.64,77.14
but,77.14,77.66
I,77.66,78.02
want,78.02,78.72
more,78.72,79.28
And,80.54,80.66
I'm,80.66,81.2
waiting,81.2,81.66
for,81.66,83.26
you,83.26,84.08
With,86.7,86.88
or,86.88,87.24
without,87.24,87.74
you,87.74,88.5
With,90.84,91.24
or,91.24,91.94
without,91.94,92.5
you,92.5,92.68
Feel,114.73,115.43
yourself,115.43,115.45
awake,115.45,116.05
With,116.05,116.07
or,116.07,116.09
without,116.09,116.11
you,116.11,116.13
And,116.49,117.63
you,117.63,117.93
give,117.93,118.43
yourself,118.43,119.47
away,119.47,120.51
And,121.85,121.95
you,121.95,122.25
give,122.25,122.71
yourself,127.6,128.19
away,128.19,129.01
My,132.27,132.33
hands,132.33,132.75
are,132.75,132.97
tied,132.97,133.67
The,136.55,136.65
body,136.65,137.27
bruised,137.27,138.29
she,138.29,138.59
got,138.59,139.09
me,139.09,139.37
with,139.37,140.09
Nothing,141.07,141.53
win,141.53,142.33
and,142.33,143.29
nothing,143.29,144.79
left,144.79,145.89
to,145.89,146.25
lose,146.25,146.87
And,148.11,148.21
you,148.21,148.43
give,148.43,148.89
yourself,148.89,150.17
away,150.17,151.03
And,152.47,152.55
you,152.55,152.69
give,152.69,152.77
yourself,152.77,152.79
away,152.79,152.81
And,152.81,152.85
you,152.85,152.87
give,152.87,153.23
yourself,153.23,154.31
away,154.31,155.39
And,156.81,157.07
you,157.07,157.17
give,157.17,157.59
yourself,158.83,160.02
away,161.87,163.87
With,165.25,165.55
or,165.55,165.63
without,165.63,166.11
you,166.11,166.81
Without,200.56,200.91
you,200.91,201.69
