See,28.1,28.5
the,28.5,28.74
stone,28.74,29.26
set,29.26,30.02
in,30.02,30.46
your,30.46,30.84
"eyes,",30.84,31.76
see,32.34,32.88
the,32.88,33.14
thorn,33.14,33.78
twist,33.78,34.3
in,34.3,34.82
your,34.82,35.18
side.,35.18,35.92
I'll,37.08,37.56
wait,37.56,38.1
for,38.1,39.72
"you,",39.72,40.26
slide,45.33,46.01
of,46.01,46.33
hand,46.33,46.93
and,46.93,47.41
twist,47.41,47.81
of,47.81,48.29
fate.,48.29,48.89
On,49.57,49.69
the,49.69,49.81
bed,49.81,50.13
of,50.13,50.55
nails,50.55,51.11
she,51.11,51.75
makes,51.75,52.23
me,52.23,52.63
wait.,52.63,53.17
And,54.47,54.75
I,54.75,55.01
wait,55.01,55.57
without,55.57,57.47
"you,",57.47,58.15
with,60.41,60.97
or,60.97,61.31
without,61.31,61.89
"you,",61.89,62.59
with,64.68,65.34
or,65.34,65.76
without,65.76,66.76
you.,66.76,67.94
Through,71.72,72.08
the,72.08,72.34
storm,72.34,72.94
we,72.94,73.62
reach,73.62,74.0
the,74.0,74.4
"shore,",74.4,75.12
you,75.76,75.92
give,75.92,76.3
it,76.3,76.7
all,76.7,77.32
but,77.32,77.84
I,77.84,78.26
want,78.26,78.78
more.,78.78,79.48
And,80.64,80.94
I'm,80.94,81.22
waiting,81.22,81.88
for,81.88,83.6
"you,",83.6,84.24
with,86.7,87.12
or,87.12,87.48
without,87.48,88.1
"you,",88.1,88.82
with,91.04,91.46
or,91.46,91.96
without,91.96,92.66
you.,114.73,122.96
My,132.27,132.53
hands,132.53,132.83
are,132.83,133.21
"tied,",133.21,133.95
my,136.57,136.79
body,136.79,137.39
"bruised,",137.39,138.39
she,138.51,138.73
got,138.73,139.15
me,139.15,139.65
with.,139.65,140.31
Nothing,141.03,141.67
went,141.67,142.49
and,142.49,143.61
nothing,143.61,145.01
left,145.01,145.99
to,145.99,146.53
lose.,146.53,147.47
And,148.11,148.39
you,148.39,148.67
give,148.67,149.35
yourself,149.35,150.37
"away,",150.37,151.23
and,152.37,152.75
you,152.75,152.99
give,152.99,153.69
yourself,153.69,154.69
away.,154.69,155.75
And,156.85,157.11
you,157.11,157.35
give,157.35,157.73
yourself,161.55,163.23
"away,",163.23,164.41
with,165.27,165.53
or,165.53,165.93
without,165.93,166.35
you.,200.56,201.89
