start	end	text
24210	25230	She's
25230	25570	a
25570	26810	empty
26810	28050	canvas
28050	29040	on
30010	30470	the
30470	31350	sheets
31350	31910	of
31910	32350	clay
36320	36580	The
36580	36840	world
36840	37300	lay
37300	38120	spread
38120	39080	out
39080	39820	before
39820	40680	me
40680	41590	as
43010	43510	her
43510	44030	body
44030	44410	would
44410	44950	still
50770	51090	Oh,
51130	51730	five
51730	54150	horizons
54150	55690	revolved
55690	56690	around
56690	57290	the
57290	57770	song
59320	59520	I
59520	59700	see
59700	59980	her
59980	60280	through
60280	60460	the
60460	61100	song
62220	62660	Now
62660	63480	the
63480	64600	air
64600	65060	I
65060	65640	tasted
65640	66000	and
66000	67000	breathed
67740	69060	There's
69060	69340	taking
69340	69660	a
69660	70240	turn
70240	71120	and
76410	76870	all
76870	77370	I
80270	81990	know
81990	82230	is
88940	89670	she
89670	90530	gave
90530	90970	me
90970	91550	all
92890	93190	That
93190	93670	she
93670	95370	wore
95370	96180	out
99030	99450	my
99450	99930	bitter
99930	100830	hands
101630	102450	Shaked
102450	102970	beneath
102970	103310	the
103310	103870	clouds
103870	104670	of
104670	105050	what
105050	105510	was
105510	106070	everything
108190	108630	All
108630	108990	the
108990	109470	pictures
109470	110290	said,
110610	111650	all
111650	112070	been
112070	112470	washed
112470	112770	in
112770	113190	black
114090	115130	Tattooed
115130	115410	everything
119980	120160	I
120160	120760	take
120760	121300	a
121300	122060	walk
122060	122860	outside
124360	124700	I'm
124700	125420	surrounded
125420	126100	by
126100	127940	some
127940	128280	kids
128280	128680	I've
128680	129020	been
131370	131870	I
131870	132550	can
132550	133430	feel
133430	134170	their
134170	134970	laughter
137070	137630	So
137630	138490	why
138490	139070	do
139070	139450	I
139450	139890	see
139890	140290	her?
145130	145530	I'm
145530	146090	twisted
146090	147210	thoughts
147210	147610	that
147610	148190	span
148190	149040	around
149710	150290	my
150290	151230	head
152790	153250	I'm
153250	153710	spinning,
154550	154990	oh,
156010	156330	I'm
156330	156750	spinning
157170	157650	How
157650	158270	quick
158270	158890	the
158890	159690	song
159690	160270	can
160270	161270	drop
162050	162870	away
167310	167750	Now
167750	168310	my
168310	168770	bitter
168770	169730	hands
170590	171090	Create
171090	171430	a
171430	171850	broken
171850	172690	glass
172690	173470	of
173470	173790	what
173790	174270	was
174270	174910	everything
176850	177390	All
177390	177650	the
177650	178130	pictures
178130	178910	said,
179990	180350	all
180350	180790	been
180790	181210	washed
181210	181510	in
181510	181930	black
182790	183710	Tattooed
183710	184070	everything
186130	186570	All
186570	186970	the
186970	187490	love
187490	187990	gone
187990	188530	bad
189290	190010	Turned
190010	190050	my
190050	190670	world
190670	191070	to
191070	191570	black
192050	192970	Tattooed
192970	193110	all
193110	193610	I
193610	194370	see
195430	195850	All
195850	196250	that
196250	197010	I
197580	197910	am
198550	198970	All
198970	199470	I'll
199470	199810	be
218160	218330	I
218330	218450	know
218450	219090	someday
219090	219430	you'll
219430	219630	have
219630	219770	a
219770	220170	beautiful
220170	220670	life
221010	221250	I
221250	221570	know
221570	222110	you'll
222110	222310	be
222310	222530	a
222530	222890	star
223790	224010	Being
224010	225250	somebody
225250	226370	else's
226370	226710	sky
227070	227250	But
227250	227630	why?
229010	229210	Why?
232330	232350	Why
232350	233070	can't
233070	233190	it
233190	233650	be?
234430	234590	Or
234590	234950	can't
234950	235030	it
235030	235810	be?
