Det,0.0,0.14
er,0.14,0.72
en,0.72,0.74
av,0.74,2.34
de,2.34,2.36
to,2.36,2.9
tingene,2.9,3.1
jeg,3.1,3.8
har,3.8,4.46
med,4.46,4.48
meg.,4.48,4.5
Jeg,4.5,5.16
har,5.16,5.18
med,5.18,5.2
meg,5.2,5.22
en,5.22,5.24
tøffel.,5.24,5.48
Den,5.48,7.7
er,7.7,7.96
fra,7.96,10.86
en,10.86,10.88
tøffel,10.88,11.56
som,11.56,11.58
heter,11.58,11.6
tøffel.,11.6,11.62
Den,12.16,12.4
er,12.4,12.42
en,12.42,12.46
tøffel,12.46,13.7
som,13.7,14.22
er,14.22,14.58
laget,14.58,14.72
av,14.72,14.74
en,14.74,14.76
tøffel,14.76,15.46
som,15.46,15.48
heter,15.48,15.52
tøffel.,15.52,15.54
Den,19.24,19.56
er,19.56,19.58
laget,19.58,19.6
av,19.6,19.62
en,19.62,19.64
tøffel,19.64,19.72
som,19.72,19.74
heter,19.74,19.76
tøffel.,19.76,19.78
Den,19.78,20.44
er,20.44,20.84
laget,20.84,21.38
av,21.38,22.48
en,22.48,23.72
tøffel.,23.72,23.74
Den,24.38,24.4
er,24.4,24.42
laget,24.42,24.44
av,24.44,24.46
en,24.46,24.56
tøffel,24.56,24.58
som,24.58,24.6
heter,24.6,24.62
tøffel.,24.62,28.76
Den,28.76,28.78
er,28.78,28.8
laget,28.8,28.82
av,28.82,28.84
en,28.84,28.86
tøffel.,28.86,28.88
Den,30.84,31.12
er,31.12,32.78
laget,32.78,32.98
av,32.98,33.0
en,33.0,33.02
tøffel,33.02,33.66
som,33.66,33.72
heter,33.72,33.78
tøffel.,33.78,34.5
Den,34.5,35.24
er,35.24,35.3
laget,35.3,35.38
av,35.38,35.4
en,35.4,35.42
tøffel.,35.42,35.44
Den,39.6,39.76
er,39.76,40.34
laget,40.34,40.88
av,40.88,40.9
en,40.9,40.92
tøffel,40.92,41.34
som,41.34,41.64
heter,41.64,41.72
tøffel.,41.72,42.22
Den,42.42,42.44
er,42.44,42.46
laget,42.46,42.48
av,42.48,42.5
en,42.5,42.52
tøffel.,42.52,42.98
Den,43.76,45.16
er,45.16,45.18
laget,45.18,45.2
av,45.2,45.22
en,45.22,45.24
tøffel,45.24,45.8
som,45.8,45.84
heter,45.84,46.0
tøffel.,46.0,46.02
Den,46.02,47.5
er,47.5,47.52
laget,47.52,47.54
av,47.54,47.56
en,47.56,47.58
tøffel.,47.58,47.66
Den,49.42,49.76
er,49.76,50.16
laget,50.16,50.48
av,50.48,50.9
en,50.9,50.98
tøffel,50.98,51.22
som,51.22,52.06
heter,52.06,52.6
tøffel.,52.6,52.9
Den,52.92,54.12
er,54.12,54.14
laget,54.14,54.52
av,54.52,54.54
en,54.54,54.56
tøffel.,54.56,55.58
Den,55.66,58.36
er,58.36,58.38
laget,58.38,58.56
av,58.56,58.58
en,58.58,58.6
tøffel,58.6,58.66
som,58.66,58.68
heter,58.68,58.7
tøffel.,58.7,58.72
Den,58.72,59.48
er,59.48,60.18
laget,60.18,60.24
av,60.24,60.26
en,60.26,60.28
tøffel.,60.28,60.42
Den,63.82,64.16
er,64.16,64.18
laget,64.18,65.16
av,65.16,65.38
en,65.38,65.4
tøffel,65.4,65.42
som,65.42,65.44
heter,65.44,65.46
tøffel.,65.46,65.48
Den,65.52,65.56
er,65.56,65.58
laget,65.58,65.96
av,65.96,65.98
en,65.98,66.0
tøffel.,66.0,66.02
Den,69.38,70.78
er,70.78,71.06
laget,71.06,71.08
av,71.08,71.1
en,71.1,71.12
tøffel,71.12,71.54
som,71.54,72.44
heter,72.44,72.5
tøffel.,72.5,72.52
Den,72.84,72.94
er,72.94,72.96
laget,72.96,72.98
av,72.98,73.0
en,73.0,73.02
tøffel.,73.02,73.12
Den,77.82,77.84
er,77.84,77.86
laget,77.86,77.88
av,77.88,78.12
en,78.12,78.14
tøffel,78.14,78.5
som,78.5,78.66
heter,78.66,78.68
tøffel.,78.68,78.7
