It's,0.08,1.14
a,1.14,1.26
test,1.26,1.42
of,1.42,1.6
the,1.6,1.7
ancient,1.7,1.94
fire,1.94,2.2
benders,2.2,2.76
to,2.76,2.86
keep,2.86,3.14
the,3.14,3.24
flame.,3.24,3.58
I,33.27,33.33
want,33.33,33.35
to,33.35,33.37
make,33.37,33.39
love,33.39,33.69
to,33.69,34.01
dancing,34.01,35.09
out,35.09,35.89
of,35.89,36.27
all,36.27,36.37
my,36.37,36.79
mind.,36.79,37.33
And,50.05,50.29
as,50.29,50.61
the,50.61,50.73
day,50.73,51.07
is,51.07,51.41
"long,",51.41,51.79
something,51.95,52.91
I,52.91,53.09
can,53.09,53.27
promise,53.27,53.73
you.,53.73,54.12
That,54.12,54.57
if,54.57,54.71
I,54.71,54.85
was,54.85,55.13
the,55.13,55.29
mother,55.29,55.47
of,55.47,55.51
the,55.51,55.69
"president,",55.69,55.93
I'd,56.61,57.17
hire,57.17,57.31
20,57.31,57.63
strippers,57.63,58.03
for,58.03,58.15
my,58.15,58.31
cabinet.,58.31,58.79
Shout,59.59,59.67
out,59.67,60.21
formats,60.21,60.57
need,60.57,61.03
not,61.03,61.33
apply.,61.33,61.68
If,61.68,62.01
you,62.01,62.11
never,62.11,62.39
hear,62.39,62.63
another,62.63,62.91
"word,",62.91,63.25
you,63.31,63.43
know,63.43,63.55
the,63.55,63.67
reason,63.67,63.97
why.,63.97,64.27
There's,65.23,65.57
something,65.57,65.83
you,65.83,66.17
should,66.17,66.53
know.,66.53,67.03
I,67.99,68.23
declare,68.23,68.61
you're,68.61,69.23
stoked.,69.23,69.83
I,70.39,70.49
don't,70.49,70.79
want,70.79,70.83
to,70.83,70.99
be,70.99,71.21
your,71.21,71.39
man,71.39,71.83
no,71.83,72.09
more.,72.09,72.38
I,72.38,73.13
want,73.13,73.33
to,73.33,73.51
make,73.51,73.69
love.,73.69,73.99
To,74.27,74.65
dance,74.65,75.49
a,75.49,75.91
nada,75.91,76.45
on,76.45,76.79
my,76.79,77.15
mind.,77.15,77.65
I,79.79,80.57
don't,80.57,80.89
want,80.89,80.91
to,80.91,81.09
be,81.09,81.33
your,81.33,81.51
man,81.51,81.93
no,81.93,82.11
more.,82.11,82.58
I,82.58,83.25
want,83.25,83.37
to,83.37,83.53
make,83.53,83.79
love,83.79,84.17
to,84.17,84.55
dance,84.55,85.49
a,85.49,85.89
nada,85.89,86.49
on,86.49,86.89
my,86.89,87.23
mind.,87.23,87.73
I,110.72,110.92
don't,110.92,111.24
want,111.24,111.26
to,111.26,111.44
be,111.44,111.62
your,111.62,111.82
man,111.82,112.24
no,112.24,112.44
more.,112.44,112.94
I,112.94,113.6
want,113.6,113.8
to,113.8,113.9
make,113.9,114.14
love,114.14,114.5
to,114.5,114.98
dance,114.98,116.1
a,116.1,116.3
nada,116.3,116.92
on,116.92,117.3
my,117.3,117.62
mind.,117.62,118.06
I,120.52,120.96
don't,120.96,121.28
want,121.28,121.3
to,121.3,121.48
be,121.48,121.66
your,121.66,121.92
man,121.92,122.26
no,122.26,122.56
more.,122.56,122.83
No,122.83,123.46
quiero,123.46,123.86
sentir,123.86,124.34
tu,124.34,124.76
amor.,124.76,125.16
No,125.58,126.16
quiero,126.16,126.32
sentir,126.32,126.34
tu,126.34,126.82
amor.,126.82,127.6
No,127.6,127.62
quiero,127.62,127.64
sentir,127.64,127.68
tu,127.68,127.92
amor.,127.92,128.22
No,129.08,130.12
quiero,130.54,131.21
