start	end	text
7110	7550	Halboy
7550	7950	Carter?
9070	9710	Time
9710	9890	to
9890	10150	strike
10150	10350	a
10350	10610	match
10610	10830	and
10830	11310	ride
11310	11550	up
11550	11850	this
11850	12130	Duke
12130	12570	George.
37300	37980	I
37980	38000	am
38000	38020	the
38020	38040	one,
38340	38700	I
38700	39060	am
39060	39400	the
39400	39720	one
39720	40020	now,
40460	40860	just
40860	41240	tell
41240	41560	me
41560	41920	how
41920	42240	to.
52960	53200	Boy
53200	53420	she
53420	53680	got
53680	53940	that
53940	54480	water,
54960	55120	think
55120	55360	man
55360	55600	got
55600	55840	that
55840	56400	water.
56660	56860	Don't
56860	57080	act
57080	57300	like
57300	57540	you
57540	57840	don't
57840	58140	know.
58760	59040	Giddy
59040	59200	up,
59260	59540	giddy
59540	59720	up.
60840	61140	Don't
61140	61300	pay
61300	61480	me
61480	61640	in
61640	62000	gold.
62520	62840	Giddy
62840	62980	up,
63040	63320	giddy
63320	63620	up.
63960	64120	Back
64120	64480	outside,
64940	65160	I'm
65160	65300	on
65300	65460	the
65460	65720	road.
65720	66660	Giddy
66660	66800	up,
66840	67140	giddy
67140	67320	up.
67680	67920	When
67920	68200	the
68200	68540	sun
68540	69040	goes
69040	69700	down.
69980	70140	It's
70140	70400	night
70400	70620	of
70620	70840	night
70840	71080	of
71080	71380	pain.
71620	71760	You
71760	72020	can
72020	72280	hear
72280	72520	her
72520	72900	body
72900	73550	howl.
73550	73860	It's
73860	74580	night
74580	74900	of
74900	75160	pain.
75540	75660	You
75660	75760	hear
75760	75900	her
75900	76200	eye
76200	76380	in
76380	76580	me
76580	76800	like
76800	77420	howl.
77420	77860	I'm
77860	78040	on
78040	78180	the
78180	78460	side
78460	78700	of
78700	78900	a
78900	78980	patch.
79040	79180	I'll
79180	79200	drive
79200	79220	your
79220	79440	man
79440	79620	when
79620	79720	a
79720	80120	hangman
80120	80460	coming
80460	81060	down.
81120	82400	She's
82400	82540	a
82540	83260	tyrant.
83560	83880	Every
83880	84220	time
84220	84520	I
84520	84820	ride
84820	85200	it,
85440	85760	every
85760	86120	time
86120	86400	I
86400	86820	ride
86820	87160	it.
87240	87540	Make
87540	87780	it
87780	87980	look
87980	88200	so
88200	88840	good.
89040	89400	Try
89400	89640	to
89640	90320	justify
90320	90940	it.
91160	91360	Boy
91360	91560	you
91560	91780	know
91780	92080	they're
92080	92380	looking
92380	92740	for
92740	92980	me.
93040	93220	How
93220	93440	we
93440	93820	gonna
93820	94360	hide
94360	94800	it?
95040	95180	Try
95180	95360	to
95360	95580	look
95580	96220	hydraulic.
97040	97120	I
97120	97260	am
97260	97500	such
97500	97740	a
97740	98500	tyrant.
99040	99160	Every
99160	99440	time
99440	99740	I
99740	100020	ride
100020	100420	it,
100700	101000	every
101000	101360	time
101360	101640	I
101640	101980	ride
101980	102360	it.
102640	102780	I
102780	103020	don't
103020	103220	like
103220	103420	to
103420	103720	sit
103720	104020	up
104020	104240	in
104240	104400	the
104400	104680	saddle.
104900	105160	Boy
105160	105400	I
105400	105760	got
105760	106200	it.
106420	106600	Just
106600	106980	relax,
107120	107280	I
107280	107600	got
107600	108100	this.
