start	end	text
0	6980	Perdona, si me enamoras de traicionas Ay ay ay ay, en mi cama
7840	9840	La otra noche te vi con mi pana
11190	13930	Así se pone duro, duro duro duro
13990	16790	No es todo un matazero, hace mi orgullo
16930	19250	Si se pone duro, duro duro duro
19250	22370	No sé cómo olvidarte, puto te lo juro
23450	25210	Soy problemática en la cama
26370	28030	Pero así lo arreglamos
29010	30830	No creo que es un drama
31710	34490	Soy una princesa, me gusta cuando gritamos
34690	40030	Yo tengo tu fotodita pa besarte tu boquita
40330	45910	Y cuando te necesita, yo quiero que me trasbien
45950	51330	Yo tengo tu fotodita pa besarte tu boquita
51610	57330	Y cuando te necesita, yo quiero que me trasbien
59890	66270	Perdona, si me enamoras de traicionas Ay ay ay ay, en mi cama
67130	69130	La otra noche te vi con mi pana
70470	73190	Así se pone duro, duro duro duro
73210	76090	No es todo un matazero, hace mi orgullo
76150	78800	Si se pone duro, duro duro duro
78800	81670	No sé cómo olvidarte, puto te lo juro
82150	85370	Pero tengo un tatuaje en mi seno
85750	88270	Es la marca en mi piel de la noche anterior
88590	90970	No te acuerdas, me quitas el sueño
91270	93970	Que sentimiento yo necesito medicación
94050	96350	Yo te lo di, te lo adretí
96670	99150	Tengo el número del cartel caro que sí
99690	102250	Yo te lo di, pero uno...
102350	103350	¡A la tarifa bebé!
104020	104700	¡Es un robo!
105180	110640	Yo tengo tu fotodita pa besarte tu boquita
110660	116480	Y cuando te necesita, yo quiero que me trasbien
116480	121900	Yo tengo tu fotodita pa besarte tu boquita
122180	127880	Y cuando te necesita, yo quiero que me trasbien
128200	136920	Perdona, si me enamoras de traicionas Ay ay ay ay, en mi cama
137640	139720	La otra noche previco mi pana
141060	143800	Así se pone duro, duro duro duro
143800	146680	Con esto no es un matazero, hace mi orgullo
146840	149330	Si se pone duro, duro duro duro duro
149330	152240	No sé cómo olvidarte, puto te lo juro
