start	end	text
24490	24830	I
24830	25170	met
25170	25670	you
25670	26110	when
26110	26390	I
26390	26690	had
26690	26810	a
26810	27190	dream
28090	28370	Not
28370	28650	so
28650	29130	long
29130	29810	ago
29810	30010	it
30010	30530	seems
31070	31430	We
31430	31870	closed
31870	32430	down
32430	32790	a
32790	33110	million
33110	33610	bars
34230	34490	Yeah,
34550	34770	you
34770	34930	and
34930	35310	me,
35710	35950	we've
35950	36150	come
36150	36430	so
36430	36770	far
37370	37510	You
37510	37830	showed
37830	38150	me
38150	38690	how
38690	39030	to
39030	39330	write
39330	39490	a
39490	39990	song
40550	40670	We
40670	40890	wrote
40890	41190	some
41190	41870	rite,
42090	42190	we
42190	42490	wrote
42490	42770	some
42770	43150	wrong
43450	43670	I
43670	43810	was
43810	44290	down
44290	44690	and
44690	45070	out,
45250	45430	you
45430	45630	let
45630	45910	me
45910	46250	in
46810	46970	The
46970	47390	time
47390	47770	she
47770	48050	was
48050	48410	my
48410	48990	only
48990	49590	friend
52590	52870	So
52870	53250	long
53250	53630	nights
53630	53930	we
53930	54250	were
54250	54430	in
54430	54910	Tennessee
55930	56070	You
56070	56510	can't
56510	56910	have
56910	57410	what's
57410	57730	left
57730	58050	of
58050	58410	me
59070	59270	And
59270	59430	as
59430	59850	far
59850	60450	as
60450	60670	I
60670	60830	can
60830	61210	tell
62210	62570	That's
62570	62730	how
62730	63150	time
63150	63610	I
63610	63910	wish
63910	64270	you
64270	64710	were
64990	65130	You
65130	65490	built
65490	65830	me
65830	66310	up,
66630	66730	you
66730	67010	set
67010	67210	me
67210	67670	free
68410	68690	You
68690	69010	tore
69010	69490	down
69490	69970	my
69970	70730	memories
71330	71470	So
71470	71810	you
71810	72150	be
72150	72690	you,
73130	73370	now
73370	73770	be
73770	74130	me
74770	74990	So
74990	75430	long
75430	75770	nights
75770	76090	we
76090	76330	were
76330	76590	in
76590	77010	Tennessee
90770	91030	Now
91030	91390	you
91390	91870	won't
91870	92210	miss
92210	92550	me
92550	92870	when
92870	93190	I'm
93190	93470	gone
93910	94110	Your
94110	94570	custom
94570	95250	made
95250	95770	for
95770	96130	moving
96130	96610	on
97210	97350	And
97350	97870	time
97870	98150	to
98150	98490	time
98490	98930	I'll
98930	99210	pass
99210	99450	you
99450	99810	by
100350	100450	A
100450	100950	face
100950	101370	that
101370	101630	I
101630	102090	don't
102090	102790	recognize
103530	103650	And
103650	103950	who
103950	104350	knows,
104570	104850	maybe
104850	105830	it's
105830	105990	from
105990	106290	now
106290	106750	You'll
106750	107010	be
107010	107210	the
107210	107630	one
107630	108350	I
108350	108590	think
108590	109170	about
109810	109950	But
109950	110270	I
110270	110610	just
110610	111310	can't
111310	111870	imagine
111870	112290	that
112910	113110	Cause
113110	113550	I'm
113550	113750	not
113750	114150	one
114150	114810	for
114810	115110	looking
115110	115570	back
118650	118910	So
118910	119310	long
119310	119670	nights
119670	120010	we
120010	120310	were
120310	120510	in
120510	120930	Tennessee
121830	122090	You
122090	122510	can't
122510	122870	have
122870	123390	what's
123390	123710	left
123710	124030	of
124030	124410	me
124990	125230	And
125230	125390	as
125390	125890	far
125890	126430	as
126430	126630	I
126630	126810	can
126810	127210	tell
128210	128490	That's
128490	128690	how
128690	129170	time
129170	129570	I
129570	129850	wish
129850	130250	you
130250	130590	were
130590	131090	You
131090	131410	built
131410	131810	me
131810	132290	up,
132630	132690	you
132690	132970	set
132970	133170	me
133170	133610	free
134310	134630	You
134630	134930	tore
134930	135390	down
135390	135870	my
135870	136630	memories
137230	137370	So
137370	137690	you
137690	138050	be
138050	138650	you,
139010	139210	now
139210	139630	be
139630	140030	me
140610	140890	So
140890	141230	long
141230	141590	nights
141590	141930	we
141930	142190	were
142190	142370	in
142370	142850	Tennessee
156190	156530	So
156530	156850	long
156850	157290	nights
157290	157590	we
157590	157870	were
157870	158090	in
158090	158530	Tennessee
159430	159670	You
159670	160110	can't
160110	160550	have
160550	161010	what's
161010	161350	left
161350	161670	of
161670	162030	me
162650	162890	And
162890	163050	as
163050	163510	far
163510	164050	as
164050	164230	I
164230	164410	can
164410	164790	tell
165750	166070	That's
166070	166270	how
166270	166730	time
166730	167150	I
167150	167450	wish
167450	167850	you
167850	168270	were
168690	168710	You
168710	169010	built
169010	169350	me
169350	169870	up,
169950	170270	you
170270	170530	set
170530	170730	me
170730	171210	free
171930	172190	You
172190	172490	tore
172490	172990	down
172990	173470	my
173470	174270	memories
175030	175370	You're
175370	175730	not
175730	176170	who
176170	176570	you
176570	176930	used
176930	177170	to
177170	177550	be
178290	178510	So
178510	178890	long
178890	179210	nights
179210	179510	we
179510	179790	were
179790	180010	in
180010	180470	Tennessee
