start	end	text
520	1240	It's
1240	1360	a
1360	1480	test
1480	1680	of
1680	1780	the
1780	2000	ancient
2000	2720	firebenders
2720	2920	to
2920	3140	keep
3140	3320	the
3320	3580	flame.
33270	33290	I
33290	33410	make
33410	33710	love
33710	34090	to
35030	35470	Dancing
35470	36050	out
36050	36270	of
36270	36650	all
36650	36910	my
36910	37630	mind
50190	50430	And
50430	50690	as
50690	50870	the
50870	51230	day
51230	51510	is
51510	51890	long
52610	52930	Something
52930	53210	I
53210	53370	can
53370	53890	promise
53890	54250	ya
54530	54710	That
54710	54850	if
54850	54990	I
54990	55150	was
55150	55310	the
55310	55510	mother
55510	55750	of
55750	55810	the
55810	56250	president
57010	57150	I'd
57150	57370	hire
57370	57670	20
57670	57970	circus
57970	58250	for
58250	58410	my
58410	58910	cabinet
59530	59950	Shot
59950	60250	out
60250	60550	full
60550	60710	of
60710	60890	mouths,
61010	61190	need
61190	61450	not
61450	61670	apply
61890	62050	If
62050	62190	you
62190	62450	never
62450	62690	hear
62690	63010	another
63010	63290	word,
63390	63490	you
63490	63630	know
63630	63770	the
63770	64030	reason
64030	64350	why
65330	65550	There's
65550	65910	something
65910	66350	you
66350	66710	should
66710	67090	know
68110	68350	I
68350	68770	declare
68770	69350	you're
69350	69850	stoked
70390	70610	I
70610	70790	don't
70790	70990	wanna
70990	71310	be
71310	71630	your
71630	71910	man
71910	72270	no
72270	72650	more
73270	73310	I
73310	73510	wanna
73510	73790	make
73790	74110	love
74110	74490	to
75430	75810	Dancing
75810	76470	out
76470	76710	of
76710	77050	all
77050	77310	my
77310	78110	mind
79210	79730	I
79730	80910	don't
80910	81110	wanna
81110	81410	be
81410	81750	your
81750	82010	man
82010	82370	no
82370	82750	more
83170	83350	I
83350	83570	wanna
83570	83910	make
83910	84230	love
84230	84610	to
85230	85910	Dancing
85910	86530	out
86530	86770	of
86770	87110	all
87110	87370	my
87370	88170	mind
110700	111020	I
111020	111260	don't
111260	111420	wanna
111420	111720	be
111720	112020	your
112020	112300	man
112300	112660	no
112660	113040	more
113600	113720	I
113720	113940	wanna
113940	114240	make
114240	114560	love
114560	114940	to
115900	116240	Dancing
116240	116900	out
116900	117180	of
117180	117480	all
117480	117740	my
117740	118500	mind
119600	120260	I
120260	121300	don't
121300	121500	wanna
121500	121820	be
121820	122140	your
122140	122420	man
122420	122760	no
122760	123140	more
123580	123780	I
123780	123940	wanna
123940	124340	make
124340	125220	love
125220	125780	to
125960	126420	Dancing
126420	127000	out
127000	127240	of
127240	127620	all
127620	127740	my
127740	128180	mind
130930	131290	There's
131290	131650	something
131650	132070	you
132070	132410	should
132410	132750	know
133840	133980	I
133980	134320	declare
134320	134920	you're
134920	135260	stoked
136040	136360	There's
136360	136660	something
136660	137040	you
137040	137380	should
137380	137700	know
138800	139010	I
139010	139370	declare
139370	140170	you're
140170	140330	stoked
141090	141470	There's
141470	141730	something
141730	142090	you
142090	142410	should
142410	142670	know
143850	144000	I
144000	144420	declare
144420	145100	you're
145100	145320	stoked
146120	146560	There's
146560	146780	something
149010	149300	you
149300	149720	should
149720	149800	know
149800	149820	I
149820	149840	declare
149840	150240	you're
150240	150760	stoked
