start	end	text
28100	28500	See
28500	28740	the
28740	29260	stone
29260	30020	set
30020	30460	in
30460	30840	your
30840	31760	eyes,
32340	32880	see
32880	33140	the
33140	33780	thorn
33780	34300	twist
34300	34820	in
34820	35180	your
35180	35920	side.
37080	37560	I'll
37560	38100	wait
38100	39720	for
39720	40260	you,
45330	46010	slide
46010	46330	of
46330	46930	hand
46930	47410	and
47410	47810	twist
47810	48290	of
48290	48890	fate.
49570	49690	On
49690	49810	the
49810	50130	bed
50130	50550	of
50550	51110	nails
51110	51750	she
51750	52230	makes
52230	52630	me
52630	53170	wait.
54470	54750	And
54750	55010	I
55010	55570	wait
55570	57470	without
57470	58150	you,
60410	60970	with
60970	61310	or
61310	61890	without
61890	62590	you,
64680	65340	with
65340	65760	or
65760	66760	without
66760	67940	you.
71720	72080	Through
72080	72340	the
72340	72940	storm
72940	73620	we
73620	74000	reach
74000	74400	the
74400	75120	shore,
75760	75920	you
75920	76300	give
76300	76700	it
76700	77320	all
77320	77840	but
77840	78260	I
78260	78780	want
78780	79480	more.
80640	80940	And
80940	81220	I'm
81220	81880	waiting
81880	83600	for
83600	84240	you,
86700	87120	with
87120	87480	or
87480	88100	without
88100	88820	you,
91040	91460	with
91460	91960	or
91960	92660	without
114730	122960	you.
132270	132530	My
132530	132830	hands
132830	133210	are
133210	133950	tied,
136570	136790	my
136790	137390	body
137390	138390	bruised,
138510	138730	she
138730	139150	got
139150	139650	me
139650	140310	with.
141030	141670	Nothing
141670	142490	went
142490	143610	and
143610	145010	nothing
145010	145990	left
145990	146530	to
146530	147470	lose.
148110	148390	And
148390	148670	you
148670	149350	give
149350	150370	yourself
150370	151230	away,
152370	152750	and
152750	152990	you
152990	153690	give
153690	154690	yourself
154690	155750	away.
156850	157110	And
157110	157350	you
157350	157730	give
161550	163230	yourself
163230	164410	away,
165270	165530	with
165530	165930	or
165930	166350	without
200560	201890	you.
