"Perdona,",0.0,1.6
si,2.12,2.26
me,2.26,2.44
enamoras,2.44,2.92
de,2.92,3.14
traicionas,3.14,4.6
Ay,4.6,5.22
ay,5.22,5.64
ay,5.64,5.98
"ay,",5.98,6.0
en,6.26,6.56
mi,6.56,6.7
cama,6.7,6.98
La,7.84,8.08
otra,8.08,8.36
noche,8.36,8.68
te,8.68,8.98
vi,8.98,9.16
con,9.16,9.36
mi,9.36,9.54
pana,9.54,9.84
Así,11.19,11.39
se,11.39,11.61
pone,11.61,11.91
"duro,",11.91,12.53
duro,12.65,13.05
duro,13.05,13.37
duro,13.37,13.93
No,13.99,14.13
es,14.13,14.31
todo,14.31,14.49
un,14.49,14.67
"matazero,",14.67,15.45
hace,15.59,15.79
mi,15.79,16.05
orgullo,16.05,16.79
Si,16.93,17.09
se,17.09,17.25
pone,17.25,17.55
"duro,",17.55,18.17
duro,18.43,18.71
duro,18.71,19.03
duro,19.03,19.25
No,19.25,19.67
sé,19.67,19.89
cómo,19.89,20.19
"olvidarte,",20.19,20.93
puto,21.11,21.51
te,21.51,21.71
lo,21.71,21.89
juro,21.89,22.37
Soy,23.45,23.61
problemática,23.61,24.37
en,24.37,24.59
la,24.59,24.71
cama,24.71,25.21
Pero,26.37,26.59
así,26.59,26.91
lo,26.91,27.21
arreglamos,27.21,28.03
No,29.01,29.25
creo,29.25,29.51
que,29.51,29.83
es,29.83,30.07
un,30.07,30.31
drama,30.31,30.83
Soy,31.71,31.91
una,31.91,32.19
"princesa,",32.19,32.81
me,32.91,32.97
gusta,32.97,33.25
cuando,33.25,33.61
gritamos,33.61,34.49
Yo,34.69,34.89
tengo,34.89,35.33
tu,35.33,35.83
fotodita,35.83,37.23
pa,37.23,37.63
besarte,37.63,38.59
tu,38.59,39.11
boquita,39.11,40.03
Y,40.33,40.51
cuando,40.51,40.99
te,40.99,41.47
"necesita,",41.47,42.83
yo,43.45,43.59
quiero,43.59,44.21
que,44.21,44.65
me,44.65,44.99
trasbien,44.99,45.91
Yo,45.95,46.09
tengo,46.09,46.65
tu,46.65,47.13
fotodita,47.13,48.49
pa,48.49,48.93
besarte,48.93,49.87
tu,49.87,50.37
boquita,50.37,51.33
Y,51.61,51.79
cuando,51.79,52.27
te,52.27,52.79
"necesita,",52.79,54.11
yo,54.75,54.89
quiero,54.89,55.47
que,55.47,55.93
me,55.93,56.29
trasbien,56.29,57.33
"Perdona,",59.89,60.61
si,60.61,61.53
me,61.53,61.73
enamoras,61.73,62.23
de,62.23,62.43
traicionas,62.43,63.87
Ay,63.87,64.55
ay,64.55,64.89
ay,64.89,65.21
"ay,",65.21,65.49
en,65.51,65.87
mi,65.87,65.99
cama,65.99,66.27
La,67.13,67.35
otra,67.35,67.65
noche,67.65,67.93
te,67.93,68.23
vi,68.23,68.47
con,68.47,68.65
mi,68.65,68.83
pana,68.83,69.13
Así,70.47,70.67
se,70.67,70.93
pone,70.93,71.21
"duro,",71.21,71.81
duro,72.03,72.35
duro,72.35,72.67
duro,72.67,73.19
No,73.21,73.37
es,73.37,73.55
todo,73.55,73.75
un,73.75,73.97
"matazero,",73.97,74.71
hace,74.91,75.09
mi,75.09,75.33
orgullo,75.33,76.09
Si,76.15,76.37
se,76.37,76.55
pone,76.55,76.85
"duro,",76.85,77.47
duro,77.65,77.99
duro,77.99,78.29
duro,78.29,78.8
No,78.8,78.97
sé,78.97,79.19
cómo,79.19,79.45
"olvidarte,",79.45,80.21
puto,80.41,80.71
te,80.71,80.93
lo,80.93,81.17
juro,81.17,81.67
Pero,82.15,82.53
tengo,82.53,83.51
un,83.51,83.65
tatuaje,83.65,84.27
en,84.27,84.53
mi,84.53,84.67
seno,84.67,85.37
Es,85.75,85.93
la,85.93,86.09
marca,86.09,86.37
en,86.37,86.67
mi,86.67,86.79
piel,86.79,86.99
de,86.99,87.15
la,87.15,87.21
noche,87.21,87.41
anterior,87.41,88.27
No,88.59,88.75
te,88.75,88.91
"acuerdas,",88.91,89.41
me,89.69,89.81
quitas,89.81,90.21
el,90.21,90.39
sueño,90.39,90.97
Que,91.27,91.39
sentimiento,91.39,91.99
yo,91.99,92.27
necesito,92.27,92.95
medicación,92.95,93.97
Yo,94.05,94.23
te,94.23,94.45
lo,94.45,94.63
"di,",94.63,94.89
te,95.27,95.63
lo,95.63,95.75
adretí,95.75,96.35
Tengo,96.67,96.95
el,96.95,97.11
número,97.11,97.43
del,97.43,97.85
cartel,97.85,98.31
caro,98.31,98.65
que,98.65,98.85
sí,98.85,99.15
Yo,99.69,99.85
te,99.85,100.05
lo,100.05,100.23
"di,",100.23,100.51
pero,101.09,101.35
uno...,101.35,102.25
¡A,102.35,102.51
la,102.51,102.61
tarifa,102.61,102.95
bebé!,102.95,103.35
¡Es,104.02,104.2
un,104.2,104.36
robo!,104.36,104.7
Yo,105.18,105.36
tengo,105.36,105.96
tu,105.96,106.4
fotodita,106.4,107.82
pa,107.82,108.2
besarte,108.2,109.16
tu,109.16,109.66
boquita,109.66,110.64
Y,110.66,111.08
cuando,111.08,111.56
te,111.56,112.04
"necesita,",112.04,113.46
yo,114.1,114.18
quiero,114.18,114.76
que,114.76,115.24
me,115.24,115.58
trasbien,115.58,116.48
Yo,116.48,116.68
tengo,116.68,117.22
tu,117.22,117.72
fotodita,117.72,119.08
pa,119.08,119.52
besarte,119.52,120.48
tu,120.48,120.96
boquita,120.96,121.9
Y,122.18,122.38
cuando,122.38,122.86
te,122.86,123.34
"necesita,",123.34,124.72
yo,125.34,125.48
quiero,125.48,126.08
que,126.08,126.54
me,126.54,126.88
trasbien,126.88,127.88
"Perdona,",128.2,131.46
si,131.7,132.1
me,132.1,132.32
enamoras,132.32,132.82
de,132.82,133.06
traicionas,133.06,134.5
Ay,134.5,135.14
ay,135.14,135.48
ay,135.48,135.8
"ay,",135.8,136.1
en,136.28,136.44
mi,136.44,136.58
cama,136.58,136.92
La,137.64,137.96
otra,137.96,138.24
noche,138.24,138.52
previco,138.52,139.16
mi,139.16,139.42
pana,139.42,139.72
Así,141.06,141.28
se,141.28,141.52
pone,141.52,141.8
"duro,",141.8,142.42
duro,142.64,142.94
duro,142.94,143.28
duro,143.28,143.8
Con,143.8,144.0
esto,144.0,144.24
no,144.24,144.48
es,144.48,144.56
un,144.56,144.62
"matazero,",144.62,145.34
hace,145.5,145.66
mi,145.66,145.92
orgullo,145.92,146.68
Si,146.84,146.96
se,146.96,147.14
pone,147.14,147.44
"duro,",147.44,148.06
duro,148.26,148.58
duro,148.58,148.9
duro,148.9,149.24
duro,149.24,149.33
No,149.33,149.62
sé,149.62,149.8
cómo,149.8,150.06
"olvidarte,",150.06,150.82
puto,151.08,151.32
te,151.32,151.54
lo,151.54,151.76
juro,151.76,152.24
