"Perdona, si me enamoras o traicionas",1.0,4.74
"Ay, ay, ay, ay, en mi cama",4.74,7.04
La otra noche te vi con mi pana,7.04,9.92
"Así se pone duro, duro, duro, duro",9.92,13.9
"Con esta mamá estás, te robaste mi orgullo",13.9,16.78
"Así se pone duro, duro, duro, duro",16.78,19.5
"No sé cómo olvidarte, por puto te lo juro",19.5,23.2
Soy problemática en la cama,23.2,25.26
Pero así lo arreglamos,25.26,28.26
No creo que es un drama,28.26,30.880000000000003
"Soy una princesa, me gusta cuando gritamos",30.880000000000003,34.660000000000004
Yo tengo tu fotodita,34.660000000000004,37.24
Pa' besarte tu boquita,37.24,40.14
Y cuando te necesitas,40.14,43.040000000000006
Yo quiero que me tragas bien,43.040000000000006,45.92
Yo tengo tu fotodita,45.92,48.540000000000006
Pa' besarte tu boquita,48.540000000000006,51.44
Y cuando te necesitas,51.44,54.36
Yo quiero que me tragas bien,54.36,57.46
Pero no me dejas ir,57.46,58.24
Solo,58.24,58.72
"Perdona, si me enamoras o traicionas",58.72,64.02
"Ay, ay, ay, ay, en mi cama",64.02,66.34
La otra noche te vi con mi pana,66.34,69.2
"Así se pone duro, duro, duro, duro",69.2,73.2
"Con esta mamá estás, te robaste mi orgullo",73.2,76.08
"Así se pone duro, duro, duro, duro",76.08,78.82000000000001
"No sé cómo olvidarte, por puto te lo juro",78.82000000000001,81.7
Pero tengo un tatuaje en mi seno,81.7,85.44
Es la marca en mi piel de la noche anterior,85.44,87.9
"No te acuerdas, me quitaste el sueño",87.9,91.06
"Qué sentimiento, yo necesito medicación",91.06,94.02000000000001
"Yo te lo di, te lo advertí",94.02000000000001,95.9
"Tengo el número del cartel, claro que sí",96.44000000000001,99.24000000000001
"Yo te lo di, pero tú no",99.24000000000001,102.06
"A la saliva, bebé, es un robo",102.06,104.74000000000001
Yo tengo tu fotodita,104.74000000000001,107.82000000000001
Pa' besarte tu boquita,107.82000000000001,110.74000000000001
Y cuando te necesitas,110.74000000000001,113.66000000000001
Yo quiero que me tragas bien,113.66000000000001,116.5
Yo tengo tu fotodita,116.5,116.9
Yo tengo tu fotodita,116.9,117.88000000000001
Pa' besarte tu boquita,117.9,122.04
Y cuando te necesitas,122.04,124.96000000000001
Yo quiero que me tragas bien,124.96000000000001,128.02
"Bebé, no me dejas sola",128.02,129.4
"Perdona, si me enamoras o traicionas",129.4,134.62
"Ay, ay, ay, ay, en mi cama",134.62,136.94
La otra noche te vi con mi pana,136.94,139.78
"Así se pone duro, duro, duro, duro",139.78,143.76
"Con esta mamá estás, te robaste mi orgullo",143.76,146.66
"Así se pone duro, duro, duro, duro",146.66,146.9
"No sé cómo olvidarte, papito, te lo juro",146.9,152.32
