"Demora! Nossa, nossa, assim você me mata",0.0,6.0
"Ai, se eu te pego, ai, ai, se eu te pego, ai",6.0,10.6
"Delícia, delícia, assim você me mata",10.6,16.0
"Ai, se eu te pego, ai, ai, se eu te pego, hein?",16.0,21.0
Um sábado na balada,31.0,36.0
A galera começou a dançar,36.0,41.0
E passou a menina mais linda,41.0,45.0
Tomei coragem e comecei a falar,45.0,50.0
Como é que é? Vai!,50.0,51.0
"Nossa, nossa, assim você me mata",51.0,56.0
"Ai, se eu te pego, ai, ai, se eu te pego, ai",56.0,60.0
"Delícia, delícia, assim você me mata",60.0,66.0
"Ai, se eu te pego, ai, ai, se eu te pego, hein?",66.0,71.0
Sábado na balada,81.0,85.0
A galera começou a dançar,85.0,91.0
E passou a menina mais linda,91.0,95.0
Tomei coragem e comecei a falar,95.0,100.0
"Nossa, nossa, assim você me mata",100.0,106.0
"Ai, se eu te pego, ai, ai, se eu te pego, ai",106.0,110.0
"Nossa, nossa, assim você me mata",110.0,116.0
"Ai, se eu te pego, ai, ai, se eu te pego, ai",116.0,121.0
"Delícia, delícia, assim você me mata",121.0,126.0
"Ai, se eu te pego, ai, ai, se eu te pego, hein?",126.0,131.0
"Delícia, delícia, assim você me mata",140.0,146.0
"Ai, se eu te pego, ai, ai, se eu te pego, hein?",146.0,151.0
"Que delícia, hein? Ai, se eu te pego",157.0,161.0
