start	end	text
0	440	Dê-me
440	740	um!
860	1740	Nossa,
2120	2840	nossa,
3380	3820	assim
3820	4540	você
4540	4800	me
4800	5500	mata!
6260	6480	Ai,
6820	6860	se
6860	7020	eu
7020	7420	te
7420	7940	pego,
8200	8380	ai,
8720	9000	ai,
9180	9380	se
9380	9580	eu
9580	9940	te
9940	10280	pego,
10300	10440	vai!
10780	11640	Delicia,
12140	12900	delicia,
13380	13740	assim
13740	14640	você
14640	14820	me
14820	15540	mata!
16240	16500	Ai,
16680	16880	se
16880	17020	eu
17020	17500	te
17500	17800	pego,
18140	18400	ai,
18700	18920	ai,
19380	19500	se
19500	19700	eu
19700	19860	te
19860	20420	pego,
20840	20860	hein!
30940	31420	Um
31420	31900	saudado
31900	32700	na
32700	34260	balada!
36360	36500	A
36500	37240	galera
37240	37860	começou
37860	38060	a
38060	40340	dança,
41080	41500	e
41500	41900	passou
41900	42220	a
42220	42920	menina
42920	43220	mais
43220	44780	linda!
45220	46080	Tomei
46080	46620	coragem
46620	47140	e
47140	47700	comecei
47700	48120	a
48120	49600	falar!
50060	50260	Como
50260	50340	é
50340	50360	que
50360	50620	é?
50720	50760	Vai!
51160	51640	Nossa,
52140	52920	nossa,
53380	53820	assim
53820	54500	você
54500	54820	me
54820	55580	mata!
56120	56440	Ai,
56700	56840	se
56840	56960	eu
56960	57260	te
57260	57860	pego,
58060	58380	ai,
58700	58960	ai,
59240	59460	se
59460	59580	eu
59580	59880	te
59880	60420	pego,
60620	61640	Delicia,
62140	62880	delicia,
63280	63820	assim
63820	64520	você
64520	64740	me
64740	65540	mata!
66120	66460	Ai,
66780	66860	se
66860	67000	eu
67000	67420	te
67420	67900	pego,
68040	68460	ai,
68720	69000	ai,
69260	69440	se
69440	69700	eu
69700	69900	te
69900	70340	pego,
70620	70740	hein!
70740	71180	Vai!
80780	81400	Um
81400	81940	saudado
81940	82740	na
82740	85000	balada!
86260	86480	A
86480	87060	galera
87060	87900	começou
87900	88140	a
88140	89860	dança,
90860	91500	e
91500	91920	passou
91920	91940	a
91940	93200	menina
93200	93220	mais
93220	94460	linda!
95700	96000	Tomei
96000	96620	coragem
96620	97200	e
97200	97760	comecei
97760	97900	a
97900	99640	falar!
101300	101620	Nossa,
102440	102880	nossa,
103420	103760	assim
103760	104560	você
104560	104800	me
104800	105580	mata!
106140	106500	Ai,
106760	106860	se
106860	107000	eu
107000	107500	te
107500	107860	pego,
108200	108380	ai,
108640	108980	ai,
109300	109400	se
109400	109560	eu
109560	109740	te
109740	110440	pego,
111100	111640	Delicia,
112160	112900	delicia,
113340	113840	assim
113840	114500	você
114500	114880	me
114880	115640	mata!
115940	116520	Ai,
116740	116880	se
116880	116980	eu
116980	117280	te
117280	117840	pego,
118140	118400	ai,
118680	118940	ai,
119280	119440	se
119440	119560	eu
119560	120000	te
120000	120380	pego,
120380	120620	hein!
128830	128990	Eu
128990	129050	quero
129050	129250	ver
129250	129430	só
129430	129730	vocês
129730	130010	agora!
131310	131630	Nossa,
135980	136550	ai,
136830	136970	se
136970	137090	eu
137090	137290	te
137290	137950	pego,
138230	138320	ai,
140640	141680	delicia,
142160	142940	delicia,
143380	143800	assim
143800	144480	você
144480	144820	me
144820	145380	mata!
146220	146460	Ai,
146700	146880	se
146880	147020	eu
147020	147440	te
147440	147860	pego,
148120	148360	ai,
148700	148920	ai,
149320	149420	se
149420	149600	eu
149600	149780	te
149780	150340	pego,
150720	150740	hein!
157530	157810	Que
157810	158510	delicia,
159330	159350	hein!
159490	159730	Ai,
159790	160010	se
160010	160050	eu
160050	160230	te
160230	160730	pego!
