"Perdona,",0.5,1.48
si,1.66,2.12
me,2.12,2.3
enamoras,2.3,2.88
o,2.88,3.1
traicionas,3.1,4.54
"Ay,",4.96,5.16
"ay,",5.2,5.5
"ay,",5.58,5.82
"ay,",5.88,6.2
en,6.26,6.4
mi,6.4,6.56
cama,6.56,6.9
La,7.68,7.94
otra,7.94,8.3
noche,8.3,8.64
te,8.64,8.82
vi,8.82,9.04
con,9.04,9.24
mi,9.24,9.4
pana,9.4,9.76
Así,10.83,11.29
se,11.29,11.47
pone,11.47,11.87
"duro,",11.87,12.43
"duro,",12.51,12.99
"duro,",13.01,13.33
duro,13.39,13.63
Con,13.63,14.11
esta,14.11,14.31
mamá,14.31,14.73
te,14.73,15.07
robaste,15.07,15.75
mi,15.75,15.89
orgullo,15.89,16.67
Así,16.83,16.99
se,16.99,17.09
pone,17.09,17.51
"duro,",17.51,18.09
"duro,",18.13,18.63
"duro,",18.65,18.97
duro,19.03,19.39
No,19.39,19.61
sé,19.61,19.79
cómo,19.79,20.11
"olvidarte,",20.11,20.85
por,20.91,21.15
puto,21.15,21.47
te,21.47,21.55
lo,21.55,21.75
juro,21.75,22.29
Soy,23.33,23.57
problemática,23.57,24.31
en,24.31,24.49
la,24.49,24.61
cama,24.61,25.09
Pero,26.39,26.41
así,26.41,26.81
lo,26.81,27.07
arreglamos,27.07,27.93
No,28.25,29.13
creo,29.13,29.49
que,29.49,29.71
es,29.71,29.87
un,29.87,30.19
drama,30.19,30.63
Soy,31.63,31.83
una,31.83,32.11
"princesa,",32.11,32.75
me,32.75,32.89
gusta,32.89,33.19
cuando,33.19,33.57
gritamos,33.57,34.41
Yo,34.57,34.77
tengo,34.77,35.25
tu,35.25,35.63
fotodita,35.63,37.07
Pa',37.19,37.59
besarte,37.59,38.43
tu,38.43,38.83
boquita,38.83,39.97
Y,40.11,40.39
cuando,40.39,40.85
te,40.85,41.25
necesitas,41.25,42.85
Yo,43.37,43.47
quiero,43.47,44.03
que,44.03,44.47
me,44.47,44.79
tragas,44.79,45.61
bien,45.61,45.83
Yo,45.93,45.99
tengo,45.99,46.53
tu,46.53,46.93
fotodita,46.93,48.37
Pa',48.43,49.05
besarte,49.05,49.79
tu,49.79,50.13
boquita,50.13,51.27
Y,51.29,51.65
cuando,51.65,52.15
te,52.15,52.53
necesitas,52.53,54.13
Yo,54.67,54.75
quiero,54.75,55.29
que,55.29,55.75
me,55.75,56.11
tragas,56.11,56.71
bien,56.71,57.19
Pero,57.51,57.67
no,57.67,57.85
me,57.85,58.01
dejas,58.01,58.17
ir,58.17,58.23
Solo,58.23,58.32
"Perdona,",58.32,60.57
si,60.89,61.41
me,61.41,61.57
enamoras,61.57,62.17
o,62.17,62.31
traicionas,62.31,63.66
"Ay,",63.66,64.35
"ay,",64.49,64.81
"ay,",64.83,65.13
"ay,",65.19,65.47
en,65.55,65.69
mi,65.69,65.85
cama,65.85,66.17
La,67.07,67.23
otra,67.23,67.57
noche,67.57,67.85
te,67.85,68.07
vi,68.07,68.31
con,68.31,68.53
mi,68.53,68.69
pana,68.69,69.05
Así,69.65,70.49
se,70.49,70.75
pone,70.75,71.15
"duro,",71.15,71.75
"duro,",71.81,72.29
"duro,",72.31,72.63
duro,72.67,72.9
Con,72.9,73.31
esta,73.31,73.59
mamá,73.59,73.97
te,73.97,74.27
robaste,74.27,75.05
mi,75.05,75.15
orgullo,75.15,75.96
Así,75.96,76.25
se,76.25,76.39
pone,76.39,76.77
"duro,",76.77,77.39
"duro,",77.43,77.93
"duro,",77.95,78.25
duro,78.29,78.53
No,78.53,78.91
sé,78.91,79.07
cómo,79.07,79.41
"olvidarte,",79.41,80.15
por,80.21,80.39
puto,80.39,80.77
te,80.77,80.83
lo,80.83,81.07
juro,81.07,81.61
Pero,82.21,82.45
tengo,82.45,83.31
un,83.31,83.57
tatuaje,83.57,84.15
en,84.15,84.35
mi,84.35,84.59
seno,84.59,85.33
Es,85.71,85.81
la,85.81,85.97
marca,85.97,86.31
en,86.31,86.47
mi,86.47,86.69
piel,86.69,86.95
de,86.95,87.09
la,87.09,87.17
noche,87.17,87.37
anterior,87.37,87.87
No,88.17,88.61
te,88.61,88.77
"acuerdas,",88.77,89.39
me,89.41,89.69
quitaste,89.69,90.21
el,90.21,90.31
sueño,90.31,90.89
Qué,90.91,91.29
"sentimiento,",91.29,91.93
yo,92.03,92.21
necesito,92.21,92.89
medicación,92.89,93.83
Yo,93.89,94.15
te,94.15,94.27
lo,94.27,94.51
"di,",94.51,94.79
te,94.91,95.47
lo,95.47,95.67
advertí,95.67,96.26
Tengo,96.26,96.89
el,96.89,96.99
número,96.99,97.31
del,97.31,97.69
"cartel,",97.69,98.29
claro,98.29,98.51
que,98.51,98.67
sí,98.67,99.11
Yo,99.65,99.73
te,99.73,99.87
lo,99.87,100.09
"di,",100.09,100.43
pero,100.53,101.21
tú,101.21,101.53
no,101.53,101.82
A,101.82,102.45
la,102.45,102.55
"tarifa,",102.55,102.89
"bebé,",102.89,103.25
es,103.31,103.6
un,104.04,104.24
robo,104.24,104.6
Yo,105.16,105.24
tengo,105.24,105.84
tu,105.84,106.2
fotodita,106.2,107.36
Pa',108.04,108.3
besarte,108.3,109.08
tu,109.08,109.42
boquita,109.42,110.52
Y,110.9,110.96
cuando,110.96,111.46
te,111.46,111.82
necesitas,111.82,113.37
Yo,113.37,114.04
quiero,114.04,114.56
que,114.56,115.06
me,115.06,115.42
tragas,115.42,116.18
bien,116.18,116.38
Yo,116.44,116.56
tengo,116.56,116.96
tu,116.96,117.44
fotodita,117.44,117.68
Yo,117.68,117.7
tengo,117.7,117.72
tu,117.72,117.74
fotodita,117.74,118.12
Pa',118.9,119.5
besarte,119.5,120.36
tu,120.36,120.74
boquita,120.74,121.88
Y,121.96,122.24
cuando,122.24,122.72
te,122.72,123.12
necesitas,123.12,124.7
Yo,125.26,125.34
quiero,125.34,125.84
que,125.84,126.36
me,126.36,126.72
tragas,126.72,127.28
bien,127.28,127.76
Pero,127.84,128.26
no,128.26,128.42
me,128.42,128.58
dejas,128.58,128.9
sola,128.9,129.24
"Perdona,",130.18,131.24
si,131.5,132.0
me,132.0,132.18
enamoras,132.18,132.76
o,132.76,132.96
traicionas,132.96,134.44
"Ay,",134.88,135.04
"ay,",135.1,135.38
"ay,",135.42,135.74
"ay,",135.78,136.1
en,136.16,136.26
mi,136.26,136.44
cama,136.44,136.8
La,137.64,137.82
otra,137.82,138.18
noche,138.18,138.5
te,138.5,138.68
vi,138.68,138.9
con,138.9,139.12
mi,139.12,139.28
pana,139.28,139.64
Así,140.56,141.06
se,141.06,141.34
pone,141.34,141.74
"duro,",141.74,142.34
"duro,",142.4,142.88
"duro,",142.9,143.22
duro,143.26,143.47
Con,143.47,143.9
esta,143.9,144.18
mamá,144.18,144.58
te,144.58,144.88
robaste,144.88,145.64
mi,145.64,145.76
orgullo,145.76,146.58
Así,146.78,146.88
se,146.88,146.98
pone,146.98,147.38
"duro,",147.38,147.98
"duro,",148.04,148.24
"duro,",148.24,148.26
duro,148.26,148.28
No,148.28,149.46
sé,149.46,149.7
cómo,149.7,150.0
"olvidarte,",150.0,150.72
poquito,150.82,151.14
te,151.14,151.42
lo,151.42,151.62
juro,151.62,152.2
