"See the stone set in your eyes, see the thorn twist in your side.",28.1,35.92
"I'll wait for you, slide of hand and twist of fate.",37.08,48.89
On the bed of nails she makes me wait.,49.57,53.17
"And I wait without you, with or without you, with or without you.",54.47,67.94
"Through the storm we reach the shore, you give it all but I want more.",71.72,79.48
"And I'm waiting for you, with or without you, with or without you.",80.64,122.96
"My hands are tied, my body bruised, she got me with.",132.27,140.31
Nothing went and nothing left to lose.,141.03,147.47
"And you give yourself away, and you give yourself away.",148.11,155.75
"And you give yourself away, with or without you.",156.85,201.89
