start	end	text
1510	1890	Pregunta
1890	2070	una
2070	2450	adamita
2450	2790	que
2790	2970	si
2970	3350	cuando
3350	3730	fue
3730	4490	la
4490	4910	fecha
4910	5110	una
5110	5450	adamita
5450	5590	del
5590	6310	auditorio
6310	6650	cuando
6650	7210	ocurrió
7210	7750	el
7750	8230	último
8230	9530	eclipse
9530	10690	solana
11050	11270	yo
11270	11390	le
11390	11530	dije
11530	11710	que
11710	11830	el
11830	12050	9
12050	12290	de
12290	12630	perre
237640	237800	me
237800	238080	creo
238080	238260	que
238260	238420	tienes
238420	238540	que
238540	239160	irme
239160	239280	a
239280	239300	ver
239300	239960	yo
239960	240040	soy
240040	240620	conocido
240620	240880	como
240880	240900	el
240900	241920	sexo
241920	242200	y
242200	242620	quiero
242620	243620	irme
243620	243640	a
243640	243880	casa
244560	244780	este
244780	244980	es
244980	245140	mi
245140	245320	casa
245940	246740	no
246740	247100	es
247100	247120	el
247120	247760	sexo
292090	292490	635
292490	293010	40
293010	293410	30
293410	293710	2
293710	294210	no
294210	294350	le
294350	294450	dan
294450	294730	trabajo
294730	295010	porque
295010	295170	está
295170	295330	muy
295330	295630	joven
295630	295730	o
295730	295830	muy
295830	296190	viejo
