start	end	text
14190	14450	Came
14450	14690	up
14690	14910	to
14910	15090	the
15090	15610	surface
15610	15910	I
15910	16330	cannot
16330	17110	remember
18610	18870	How
18870	19210	long
19210	19630	I've
19630	19830	been
19830	20510	swimming,
22250	23070	drowning
26270	26530	Gets
26530	26750	out
26750	27030	grown
27030	27590	accustomed
27590	27970	to
27970	28290	all
28290	28530	of
28530	28710	the
28710	29210	sharks
30490	30770	And
30770	31010	we're
31010	31250	not
31250	31610	really
31610	32310	breathing
34410	34850	Now
34850	35790	I
37270	37450	won't
37450	37730	just
37730	38390	mind
38390	39070	the
39070	39990	gap
39990	40690	I'll
40690	41070	fill
41070	41590	it
42910	43130	If
43130	43330	I'm
43330	43630	gonna
43630	44550	eat
44550	44930	this
44930	45850	mosquito
45850	46690	I'll
46690	46910	have
46910	47190	to
47190	47610	thank
47610	48170	it
49130	49370	I
49370	49670	haven't
49670	50750	really
50750	52290	made
52290	52730	the
52730	53450	most
53450	53930	of
53930	54270	this
54270	54710	life
55010	55210	From
55210	55430	your
55430	55730	honest
55730	56430	bed
56430	57030	back
57030	57650	Whatever
57650	58430	don't
58430	58750	taste
58750	59370	right
60610	61050	One
61050	61470	time
61470	61810	I
61810	62350	told
62350	63270	my
63270	64190	heart
64190	64870	to
64870	65230	shut
65230	65750	up
66990	67310	But
67310	67490	I
67490	67650	know
67650	67990	that
67990	68570	I
68570	69370	can't
69370	69830	win
69830	70370	back
70370	70730	her
70730	71030	to
71030	71590	us
73070	73330	I
73330	73570	don't
73570	73730	at
73730	74010	least
74010	74590	add
74590	75270	much
75270	75830	to
75830	76130	the
76130	76570	both
76570	76990	of
76990	78650	us
92700	92900	To
92900	93160	fell
93160	93400	out
93400	93600	the
93600	93900	neck
93900	94160	for
94160	94380	this
94380	94640	dull
94640	95620	conversation
97000	97420	I'd
97420	97680	shop
97680	97940	in
97940	98180	my
98180	98560	whip
98560	99260	But
99260	100460	what's
100460	100680	my
100680	101780	motivation
104720	105040	Don't
105040	105220	need
105220	105460	to
105460	105640	be
105640	106060	clever
106060	106400	to
106400	106720	tell
106720	107020	you
107020	107300	that
107300	107900	I'm
107900	108420	just
108960	109100	A
109100	109420	total
109420	109780	mess
109780	110100	and
110100	110340	then
110340	110680	I
110680	111420	must
111420	112220	throw
112220	112520	that
112520	112740	old
112740	113040	self
113040	113600	away
115330	115610	If
115610	115770	I
115770	116010	don't
116010	116190	get
116190	116790	right
116790	117530	now
117530	118390	I
118390	118990	will
118990	120090	always
121550	121810	Eat
121810	122170	what's
122170	122330	to
122330	122810	gain,
123010	123310	sleep
123310	123590	with
123590	123810	the
123810	124050	snakes
124590	124910	Here
124910	125150	in
125150	125370	this
125370	125810	cold
125810	126430	grave
127610	127830	I
127830	128310	haven't
128310	129230	really
129230	130730	made
130730	131190	the
131190	132010	most
132010	132410	of
132410	132730	this
132730	133210	life
133510	133690	From
133690	133890	your
133890	134270	honest
134270	134930	bed
134930	135510	back
135510	136170	Whatever
136170	136970	don't
136970	137250	taste
137250	137750	right
139110	139550	One
139550	139930	time
139930	140330	I
140330	140810	told
140810	141710	my
141710	142590	heart
142590	143330	to
143330	143710	shut
143710	144190	up
145510	145790	But
145790	145990	I
145990	146150	know
146150	146490	that
146490	147130	I
147130	148130	can't
148130	148330	win
148330	148850	back
148850	149230	her
149230	149570	to
149570	150070	us
151510	151850	I
151850	152070	don't
152070	152230	at
152230	152530	least
152530	153090	add
153090	153750	much
153750	154330	to
154330	154610	the
154610	155070	both
155070	155450	of
155450	156910	us
159120	159600	I
159600	159960	was
159960	160940	waiting
160940	162200	for
162200	162580	this
162580	163000	to
163000	163500	happen
163500	164040	to
164040	164600	me
166210	166610	But
166610	167630	nothing's
167630	168210	happening
171240	171680	I
171680	172400	feel
172400	173120	my
173120	173820	skin
173820	174540	as
174540	174820	the
174820	175380	sun
175380	176260	burns
176260	176880	it
177720	177880	And
177880	178240	something
178240	178820	in
178820	179040	me
179040	179320	sets
179320	179680	light
179680	179840	on
179840	180020	it
180720	180880	Cause
180880	181100	one
181100	181380	more
181380	181740	look
181740	182120	might
182120	182580	change
182580	182900	it
182900	183460	all
186710	187030	One
187030	187410	more
187410	187810	word
187810	188170	might
188170	188630	change
188630	188950	it
188950	189370	all
192770	193110	One
193110	193430	more
193430	193850	try
193850	194190	might
194190	194650	change
194650	194990	it
194990	195610	all
198810	199150	One
199150	199490	more
199490	199810	try
199810	200170	might
200170	200650	change
200650	200990	it
200990	201390	all
204890	205190	One
205190	205510	more
205510	205950	look
205950	206290	might
206290	206770	change
206770	207210	it
207210	207970	all
